	samples	K	cluster
1	TCGA.OR.A5J1.01A	3	1
2	TCGA.OR.A5J2.01A	3	1
3	TCGA.OR.A5J3.01A	3	2
4	TCGA.OR.A5J5.01A	3	1
5	TCGA.OR.A5J6.01A	3	1
6	TCGA.OR.A5J7.01A	3	2
7	TCGA.OR.A5J8.01A	3	3
8	TCGA.OR.A5J9.01A	3	1
9	TCGA.OR.A5JA.01A	3	3
10	TCGA.OR.A5JB.01A	3	1
11	TCGA.OR.A5JC.01A	3	2
12	TCGA.OR.A5JD.01A	3	1
13	TCGA.OR.A5JE.01A	3	2
14	TCGA.OR.A5JF.01A	3	1
15	TCGA.OR.A5JG.01A	3	3
16	TCGA.OR.A5JI.01A	3	3
17	TCGA.OR.A5JJ.01A	3	3
18	TCGA.OR.A5JK.01A	3	1
19	TCGA.OR.A5JL.01A	3	2
20	TCGA.OR.A5JM.01A	3	1
21	TCGA.OR.A5JO.01A	3	1
22	TCGA.OR.A5JP.01A	3	2
23	TCGA.OR.A5JQ.01A	3	1
24	TCGA.OR.A5JR.01A	3	2
25	TCGA.OR.A5JS.01A	3	2
26	TCGA.OR.A5JT.01A	3	2
27	TCGA.OR.A5JV.01A	3	2
28	TCGA.OR.A5JW.01A	3	3
29	TCGA.OR.A5JX.01A	3	2
30	TCGA.OR.A5JY.01A	3	3
31	TCGA.OR.A5JZ.01A	3	2
32	TCGA.OR.A5K0.01A	3	1
33	TCGA.OR.A5K1.01A	3	2
34	TCGA.OR.A5K2.01A	3	1
35	TCGA.OR.A5K3.01A	3	2
36	TCGA.OR.A5K4.01A	3	2
37	TCGA.OR.A5K5.01A	3	1
38	TCGA.OR.A5K6.01A	3	1
39	TCGA.OR.A5K8.01A	3	2
40	TCGA.OR.A5K9.01A	3	2
41	TCGA.OR.A5KO.01A	3	2
42	TCGA.OR.A5KT.01A	3	1
43	TCGA.OR.A5KU.01A	3	1
44	TCGA.OR.A5KV.01A	3	1
45	TCGA.OR.A5KW.01A	3	2
46	TCGA.OR.A5KX.01A	3	2
47	TCGA.OR.A5KY.01A	3	3
48	TCGA.OR.A5KZ.01A	3	1
49	TCGA.OR.A5L3.01A	3	1
50	TCGA.OR.A5L4.01A	3	1
51	TCGA.OR.A5L5.01A	3	2
52	TCGA.OR.A5L6.01A	3	2
53	TCGA.OR.A5L8.01A	3	1
54	TCGA.OR.A5L9.01A	3	2
55	TCGA.OR.A5LA.01A	3	2
56	TCGA.OR.A5LB.01A	3	3
57	TCGA.OR.A5LC.01A	3	2
58	TCGA.OR.A5LD.01A	3	1
59	TCGA.OR.A5LE.01A	3	2
60	TCGA.OR.A5LG.01A	3	2
61	TCGA.OR.A5LH.01A	3	1
62	TCGA.OR.A5LJ.01A	3	1
63	TCGA.OR.A5LK.01A	3	1
64	TCGA.OR.A5LL.01A	3	1
65	TCGA.OR.A5LM.01A	3	1
66	TCGA.OR.A5LN.01A	3	1
67	TCGA.OR.A5LO.01A	3	3
68	TCGA.OR.A5LP.01A	3	1
69	TCGA.OR.A5LR.01A	3	2
70	TCGA.OR.A5LS.01A	3	2
71	TCGA.OR.A5LT.01A	3	3
72	TCGA.OU.A5PI.01A	3	1
73	TCGA.P6.A5OF.01A	3	1
74	TCGA.P6.A5OG.01A	3	1
75	TCGA.PA.A5YG.01A	3	1
76	TCGA.PK.A5H8.01A	3	2
77	TCGA.PK.A5H9.01A	3	1
78	TCGA.PK.A5HA.01A	3	3
79	TCGA.PK.A5HB.01A	3	3
