	samples	K	cluster
1	TCGA.3C.AAAU.01A	2	1
2	TCGA.3C.AALI.01A	2	1
3	TCGA.3C.AALJ.01A	2	1
4	TCGA.3C.AALK.01A	2	1
5	TCGA.4H.AAAK.01A	2	1
6	TCGA.5L.AAT0.01A	2	1
7	TCGA.5L.AAT1.01A	2	1
8	TCGA.5T.A9QA.01A	2	1
9	TCGA.A1.A0SB.01A	2	1
10	TCGA.A1.A0SE.01A	2	1
11	TCGA.A1.A0SF.01A	2	1
12	TCGA.A1.A0SG.01A	2	1
13	TCGA.A1.A0SH.01A	2	1
14	TCGA.A1.A0SI.01A	2	1
15	TCGA.A1.A0SJ.01A	2	1
16	TCGA.A1.A0SK.01A	2	1
17	TCGA.A1.A0SN.01A	2	1
18	TCGA.A1.A0SO.01A	2	1
19	TCGA.A1.A0SP.01A	2	1
20	TCGA.A1.A0SQ.01A	2	1
21	TCGA.A2.A04R.01A	2	1
22	TCGA.A2.A0CK.01A	2	1
23	TCGA.A2.A0CO.01A	2	1
24	TCGA.A2.A0CR.01A	2	1
25	TCGA.A2.A0CT.01A	2	1
26	TCGA.A2.A0EN.01A	2	1
27	TCGA.A2.A0EP.01A	2	1
28	TCGA.A2.A0EU.01A	2	1
29	TCGA.A2.A0ST.01A	2	1
30	TCGA.A2.A0SU.01A	2	1
31	TCGA.A2.A0SV.01A	2	1
32	TCGA.A2.A0SW.01A	2	1
33	TCGA.A2.A0SX.01A	2	1
34	TCGA.A2.A0SY.01A	2	1
35	TCGA.A2.A0T0.01A	2	1
36	TCGA.A2.A0T1.01A	2	1
37	TCGA.A2.A0T2.01A	2	1
38	TCGA.A2.A0T4.01A	2	1
39	TCGA.A2.A0T5.01A	2	1
40	TCGA.A2.A0T6.01A	2	1
41	TCGA.A2.A0T7.01A	2	1
42	TCGA.A2.A0YC.01A	2	1
43	TCGA.A2.A0YD.01A	2	1
44	TCGA.A2.A0YF.01A	2	1
45	TCGA.A2.A0YG.01A	2	1
46	TCGA.A2.A0YH.01A	2	1
47	TCGA.A2.A0YI.01A	2	1
48	TCGA.A2.A0YK.01A	2	1
49	TCGA.A2.A0YL.01A	2	1
50	TCGA.A2.A0YM.01A	2	1
51	TCGA.A2.A0YT.01A	2	1
52	TCGA.A2.A1FV.01A	2	1
53	TCGA.A2.A1FW.01A	2	1
54	TCGA.A2.A1FX.01A	2	1
55	TCGA.A2.A1FZ.01A	2	1
56	TCGA.A2.A1G0.01A	2	1
57	TCGA.A2.A1G1.01A	2	1
58	TCGA.A2.A1G4.01A	2	1
59	TCGA.A2.A1G6.01A	2	2
60	TCGA.A2.A259.01A	2	1
61	TCGA.A2.A25A.01A	2	1
62	TCGA.A2.A25B.01A	2	1
63	TCGA.A2.A25C.01A	2	1
64	TCGA.A2.A25D.01A	2	1
65	TCGA.A2.A25E.01A	2	1
66	TCGA.A2.A25F.01A	2	1
67	TCGA.A2.A3KC.01A	2	1
68	TCGA.A2.A3KD.01A	2	1
69	TCGA.A2.A3XS.01A	2	1
70	TCGA.A2.A3XT.01A	2	1
71	TCGA.A2.A3XU.01A	2	1
72	TCGA.A2.A3XV.01A	2	1
73	TCGA.A2.A3XW.01A	2	1
74	TCGA.A2.A3XX.01A	2	1
75	TCGA.A2.A3XY.01A	2	1
76	TCGA.A2.A3XZ.01A	2	1
77	TCGA.A2.A3Y0.01A	2	1
78	TCGA.A2.A4RW.01A	2	1
79	TCGA.A2.A4RX.01A	2	1
