	samples	K	cluster
1	TCGA.2W.A8YY.01A	2	1
2	TCGA.4J.AA1J.01A	2	1
3	TCGA.BI.A0VR.01A	2	2
4	TCGA.BI.A0VS.01A	2	2
5	TCGA.BI.A20A.01A	2	2
6	TCGA.C5.A0TN.01A	2	1
7	TCGA.C5.A1BE.01B	2	2
8	TCGA.C5.A1BF.01B	2	2
9	TCGA.C5.A1BI.01B	2	2
10	TCGA.C5.A1BJ.01A	2	2
11	TCGA.C5.A1BK.01B	2	2
12	TCGA.C5.A1BL.01A	2	2
13	TCGA.C5.A1BM.01A	2	2
14	TCGA.C5.A1BN.01B	2	1
15	TCGA.C5.A1BQ.01C	2	2
16	TCGA.C5.A1M5.01A	2	2
17	TCGA.C5.A1M6.01A	2	1
18	TCGA.C5.A1M7.01A	2	2
19	TCGA.C5.A1M8.01A	2	1
20	TCGA.C5.A1M9.01A	2	1
21	TCGA.C5.A1ME.01A	2	1
22	TCGA.C5.A1MF.01A	2	2
23	TCGA.C5.A1MH.01A	2	2
24	TCGA.C5.A1MI.01A	2	2
25	TCGA.C5.A1MJ.01A	2	2
26	TCGA.C5.A1MK.01A	2	2
27	TCGA.C5.A1ML.01A	2	1
28	TCGA.C5.A1MN.01A	2	1
29	TCGA.C5.A1MP.01A	2	2
30	TCGA.C5.A1MQ.01A	2	2
31	TCGA.C5.A2LS.01A	2	1
32	TCGA.C5.A2LT.01A	2	2
33	TCGA.C5.A2LV.01A	2	1
34	TCGA.C5.A2LX.01A	2	2
35	TCGA.C5.A2LY.01A	2	2
36	TCGA.C5.A2LZ.01A	2	2
37	TCGA.C5.A2M1.01A	2	1
38	TCGA.C5.A2M2.01A	2	1
39	TCGA.C5.A3HD.01B	2	1
40	TCGA.C5.A3HE.01A	2	1
41	TCGA.C5.A3HF.01A	2	2
42	TCGA.C5.A3HL.01A	2	2
43	TCGA.C5.A7CG.01A	2	2
44	TCGA.C5.A7CH.01A	2	2
45	TCGA.C5.A7CJ.01A	2	2
46	TCGA.C5.A7CK.01A	2	2
47	TCGA.C5.A7CL.01A	2	2
48	TCGA.C5.A7CM.01A	2	1
49	TCGA.C5.A7CO.01A	2	2
50	TCGA.C5.A7UC.01A	2	1
51	TCGA.C5.A7UE.01A	2	2
52	TCGA.C5.A7UH.01A	2	1
53	TCGA.C5.A7UI.01A	2	2
54	TCGA.C5.A7X3.01A	2	2
55	TCGA.C5.A7X5.01A	2	1
56	TCGA.C5.A7X8.01A	2	1
57	TCGA.C5.A7XC.01A	2	2
58	TCGA.C5.A8XH.01A	2	2
59	TCGA.C5.A8XI.01A	2	2
60	TCGA.C5.A8XJ.01A	2	1
61	TCGA.C5.A8XK.01A	2	1
62	TCGA.C5.A8YQ.01A	2	1
63	TCGA.C5.A8YR.01A	2	1
64	TCGA.C5.A8YT.01A	2	1
65	TCGA.C5.A8ZZ.01A	2	1
66	TCGA.C5.A901.01A	2	2
67	TCGA.C5.A902.01A	2	1
68	TCGA.C5.A905.01A	2	1
69	TCGA.C5.A907.01A	2	1
70	TCGA.DG.A2KH.01A	2	1
71	TCGA.DG.A2KJ.01A	2	1
72	TCGA.DG.A2KK.01A	2	1
73	TCGA.DG.A2KL.01A	2	2
74	TCGA.DG.A2KM.01A	2	2
75	TCGA.DR.A0ZL.01A	2	2
76	TCGA.DR.A0ZM.01A	2	2
77	TCGA.DS.A0VK.01A	2	2
78	TCGA.DS.A0VL.01A	2	2
79	TCGA.DS.A0VM.01A	2	1
80	TCGA.DS.A0VN.01A	2	2
81	TCGA.DS.A1O9.01A	2	2
82	TCGA.DS.A1OA.01A	2	2
83	TCGA.DS.A1OB.01A	2	2
84	TCGA.DS.A1OC.01A	2	2
85	TCGA.DS.A1OD.01A	2	2
86	TCGA.DS.A3LQ.01A	2	2
87	TCGA.DS.A5RQ.01A	2	2
88	TCGA.DS.A7WF.01A	2	1
89	TCGA.DS.A7WH.01A	2	1
90	TCGA.DS.A7WI.01A	2	1
91	TCGA.EA.A1QS.01A	2	2
92	TCGA.EA.A1QT.01A	2	2
93	TCGA.EA.A3HQ.01A	2	2
94	TCGA.EA.A3HR.01A	2	2
95	TCGA.EA.A3HS.01A	2	2
96	TCGA.EA.A3HT.01A	2	2
97	TCGA.EA.A3HU.01A	2	2
98	TCGA.EA.A3QD.01A	2	2
99	TCGA.EA.A3QE.01A	2	2
100	TCGA.EA.A3Y4.01A	2	1
101	TCGA.EA.A410.01A	2	1
102	TCGA.EA.A411.01A	2	2
103	TCGA.EA.A439.01A	2	1
104	TCGA.EA.A43B.01A	2	2
105	TCGA.EA.A44S.01A	2	2
106	TCGA.EA.A4BA.01A	2	1
107	TCGA.EA.A50E.01A	2	2
108	TCGA.EA.A556.01A	2	1
109	TCGA.EA.A5FO.01A	2	1
110	TCGA.EA.A5O9.01A	2	1
111	TCGA.EA.A5ZD.01A	2	2
112	TCGA.EA.A5ZE.01A	2	2
113	TCGA.EA.A5ZF.01A	2	1
114	TCGA.EA.A6QX.01A	2	1
115	TCGA.EA.A78R.01A	2	2
116	TCGA.EA.A97N.01A	2	2
117	TCGA.EK.A2GZ.01A	2	1
118	TCGA.EK.A2H0.01A	2	1
119	TCGA.EK.A2H1.01A	2	2
120	TCGA.EK.A2IP.01A	2	1
121	TCGA.EK.A2IR.01A	2	1
122	TCGA.EK.A2PG.01A	2	1
123	TCGA.EK.A2PI.01A	2	2
124	TCGA.EK.A2PK.01A	2	2
125	TCGA.EK.A2PL.01A	2	2
126	TCGA.EK.A2PM.01A	2	1
127	TCGA.EK.A2R7.01A	2	1
128	TCGA.EK.A2R8.01A	2	1
129	TCGA.EK.A2R9.01A	2	2
130	TCGA.EK.A2RA.01A	2	2
131	TCGA.EK.A2RB.01A	2	2
132	TCGA.EK.A2RC.01A	2	2
