	samples	K	cluster
1	TCGA.3X.AAV9.01A	2	1
2	TCGA.3X.AAVA.01A	2	1
3	TCGA.3X.AAVB.01A	2	1
4	TCGA.3X.AAVC.01A	2	2
5	TCGA.3X.AAVE.01A	2	1
6	TCGA.4G.AAZO.01A	2	1
7	TCGA.4G.AAZT.01A	2	2
8	TCGA.W5.AA2G.01A	2	1
9	TCGA.W5.AA2H.01A	2	2
10	TCGA.W5.AA2I.01A	2	1
11	TCGA.W5.AA2I.11A	2	2
12	TCGA.W5.AA2O.01A	2	1
13	TCGA.W5.AA2Q.01A	2	2
14	TCGA.W5.AA2Q.11A	2	2
15	TCGA.W5.AA2R.11A	2	2
16	TCGA.W5.AA2T.01A	2	1
17	TCGA.W5.AA2U.01A	2	1
18	TCGA.W5.AA2U.11A	2	2
19	TCGA.W5.AA2W.01A	2	1
20	TCGA.W5.AA2X.01A	2	2
21	TCGA.W5.AA2X.11A	2	2
22	TCGA.W5.AA2Z.01A	2	1
23	TCGA.W5.AA30.01A	2	2
24	TCGA.W5.AA30.11A	2	2
25	TCGA.W5.AA31.01A	2	1
26	TCGA.W5.AA31.11A	2	2
27	TCGA.W5.AA33.01A	2	2
28	TCGA.W5.AA34.01A	2	1
29	TCGA.W5.AA34.11A	2	2
30	TCGA.W5.AA36.01A	2	2
31	TCGA.W5.AA38.01A	2	1
32	TCGA.W5.AA39.01A	2	2
33	TCGA.W6.AA0S.01A	2	1
34	TCGA.WD.A7RX.01A	2	1
35	TCGA.YR.A95A.01A	2	1
36	TCGA.ZD.A8I3.01A	2	1
37	TCGA.ZH.A8Y1.01A	2	1
38	TCGA.ZH.A8Y2.01A	2	1
39	TCGA.ZH.A8Y4.01A	2	1
40	TCGA.ZH.A8Y5.01A	2	1
41	TCGA.ZH.A8Y6.01A	2	2
42	TCGA.ZH.A8Y8.01A	2	1
43	TCGA.ZU.A8S4.01A	2	1
44	TCGA.ZU.A8S4.11A	2	2
