	samples	K	cluster
1	TCGA.FA.8693.01A	3	1
2	TCGA.FA.A4BB.01A	3	1
3	TCGA.FA.A4XK.01A	3	1
4	TCGA.FA.A6HN.01A	3	2
5	TCGA.FA.A6HO.01A	3	1
6	TCGA.FA.A7DS.01A	3	2
7	TCGA.FA.A7Q1.01A	3	3
8	TCGA.FA.A82F.01A	3	2
9	TCGA.FA.A86F.01A	3	1
10	TCGA.FF.8041.01A	3	1
11	TCGA.FF.8042.01A	3	1
12	TCGA.FF.8043.01A	3	2
13	TCGA.FF.8046.01A	3	2
14	TCGA.FF.8047.01A	3	3
15	TCGA.FF.8061.01A	3	3
16	TCGA.FF.8062.01A	3	3
17	TCGA.FF.A7CQ.01A	3	2
18	TCGA.FF.A7CR.01A	3	2
19	TCGA.FF.A7CW.01A	3	2
20	TCGA.FF.A7CX.01A	3	3
21	TCGA.FM.8000.01A	3	2
22	TCGA.G8.6324.01A	3	2
23	TCGA.G8.6325.01A	3	1
24	TCGA.G8.6326.01A	3	1
25	TCGA.G8.6906.01A	3	1
26	TCGA.G8.6907.01A	3	2
27	TCGA.G8.6909.01A	3	3
28	TCGA.G8.6914.01A	3	1
29	TCGA.GR.7353.01A	3	2
30	TCGA.GR.A4D4.01A	3	2
31	TCGA.GR.A4D5.01A	3	1
32	TCGA.GR.A4D6.01A	3	2
33	TCGA.GR.A4D9.01B	3	1
34	TCGA.GS.A9TQ.01A	3	3
35	TCGA.GS.A9TT.01A	3	1
36	TCGA.GS.A9TU.01A	3	2
37	TCGA.GS.A9TV.01A	3	2
38	TCGA.GS.A9TW.01A	3	2
39	TCGA.GS.A9TX.01A	3	1
40	TCGA.GS.A9TY.01A	3	1
41	TCGA.GS.A9TZ.01A	3	2
42	TCGA.GS.A9U3.01A	3	1
43	TCGA.GS.A9U4.01A	3	1
44	TCGA.RQ.A68N.01A	3	3
45	TCGA.RQ.A6JB.01A	3	3
46	TCGA.RQ.AAAT.01A	3	3
47	TCGA.VB.A8QN.01A	3	3
