	samples	K	cluster
1	TCGA.4P.AA8J.01A	3	1
2	TCGA.BA.4074.01A	3	1
3	TCGA.BA.4076.01A	3	2
4	TCGA.BA.4077.01B	3	1
5	TCGA.BA.4078.01A	3	1
6	TCGA.BA.5149.01A	3	3
7	TCGA.BA.5151.01A	3	3
8	TCGA.BA.5152.01A	3	1
9	TCGA.BA.5153.01A	3	1
10	TCGA.BA.5555.01A	3	1
11	TCGA.BA.5556.01A	3	3
12	TCGA.BA.5557.01A	3	2
13	TCGA.BA.5558.01A	3	2
14	TCGA.BA.5559.01A	3	1
15	TCGA.BA.6868.01B	3	1
16	TCGA.BA.6869.01A	3	1
17	TCGA.BA.6870.01A	3	1
18	TCGA.BA.6871.01A	3	1
19	TCGA.BA.6872.01A	3	3
20	TCGA.BA.6873.01A	3	3
21	TCGA.BA.7269.01A	3	1
22	TCGA.BA.A4IF.01A	3	1
23	TCGA.BA.A4IG.01A	3	1
24	TCGA.BA.A4IH.01A	3	1
25	TCGA.BA.A4II.01A	3	2
26	TCGA.BA.A6D8.01A	3	1
27	TCGA.BA.A6DA.01A	3	2
28	TCGA.BA.A6DB.01A	3	1
29	TCGA.BA.A6DD.01A	3	1
30	TCGA.BA.A6DE.01A	3	1
31	TCGA.BA.A6DG.01A	3	1
32	TCGA.BA.A6DI.01A	3	2
33	TCGA.BA.A6DJ.01A	3	3
34	TCGA.BA.A6DL.01A	3	2
35	TCGA.BA.A8YP.01A	3	1
36	TCGA.BB.4217.01A	3	1
37	TCGA.BB.4223.01A	3	3
38	TCGA.BB.4224.01A	3	2
39	TCGA.BB.4225.01A	3	3
40	TCGA.BB.4227.01A	3	1
41	TCGA.BB.4228.01A	3	3
42	TCGA.BB.7861.01A	3	1
43	TCGA.BB.7862.01A	3	1
44	TCGA.BB.7863.01A	3	2
45	TCGA.BB.7864.01A	3	1
46	TCGA.BB.7866.01A	3	3
47	TCGA.BB.7870.01A	3	1
48	TCGA.BB.7871.01A	3	1
49	TCGA.BB.7872.01A	3	1
