	samples	K	cluster
1	TCGA.3Z.A93Z.01A	2	1
2	TCGA.6D.AA2E.01A	2	1
3	TCGA.A3.3357.01A	2	1
4	TCGA.A3.3358.01A	2	1
5	TCGA.A3.3367.01A	2	1
6	TCGA.A3.3370.01A	2	1
7	TCGA.A3.3373.01A	2	1
8	TCGA.A3.3376.01A	2	1
9	TCGA.A3.3385.01A	2	1
10	TCGA.A3.3387.01A	2	1
11	TCGA.A3.A6NI.01A	2	1
12	TCGA.A3.A6NJ.01A	2	1
13	TCGA.A3.A6NL.01A	2	1
14	TCGA.A3.A6NN.01A	2	1
15	TCGA.A3.A8CQ.01A	2	1
16	TCGA.A3.A8OU.01A	2	1
17	TCGA.A3.A8OV.01A	2	1
18	TCGA.A3.A8OW.01A	2	1
19	TCGA.A3.A8OX.01A	2	1
20	TCGA.AK.3425.01A	2	1
21	TCGA.AK.3428.01A	2	1
22	TCGA.AK.3431.01A	2	1
23	TCGA.AK.3433.01A	2	1
24	TCGA.AK.3434.01A	2	1
25	TCGA.AK.3440.01A	2	1
26	TCGA.AK.3445.01A	2	1
27	TCGA.AK.3450.01A	2	1
28	TCGA.AK.3453.01A	2	1
29	TCGA.AK.3454.01A	2	1
30	TCGA.AK.3458.01A	2	1
31	TCGA.AK.3460.01A	2	1
32	TCGA.AK.3461.01A	2	1
33	TCGA.B0.4688.01A	2	1
34	TCGA.B0.4690.01A	2	1
35	TCGA.B0.4691.01A	2	1
36	TCGA.B0.4693.01A	2	1
37	TCGA.B0.4694.01A	2	1
38	TCGA.B0.4696.01A	2	1
39	TCGA.B0.4697.01A	2	1
40	TCGA.B0.4698.01A	2	1
41	TCGA.B0.4699.01A	2	1
42	TCGA.B0.4700.01A	2	1
43	TCGA.B0.4701.01A	2	1
44	TCGA.B0.4703.01A	2	1
45	TCGA.B0.4706.01A	2	1
46	TCGA.B0.4707.01A	2	1
47	TCGA.B0.4710.01A	2	1
48	TCGA.B0.4712.01A	2	1
49	TCGA.B0.4712.11A	2	1
50	TCGA.B0.4713.01A	2	1
51	TCGA.B0.4714.01A	2	1
52	TCGA.B0.4718.01A	2	1
53	TCGA.B0.4810.01A	2	1
54	TCGA.B0.4811.01A	2	1
55	TCGA.B0.4813.01A	2	1
56	TCGA.B0.4814.01A	2	1
57	TCGA.B0.4815.01A	2	1
58	TCGA.B0.4816.01A	2	1
59	TCGA.B0.4817.01A	2	1
60	TCGA.B0.4818.01A	2	1
61	TCGA.B0.4819.01A	2	1
62	TCGA.B0.4821.01A	2	1
63	TCGA.B0.4822.01A	2	1
64	TCGA.B0.4823.01A	2	1
65	TCGA.B0.4824.01A	2	1
66	TCGA.B0.4827.01A	2	1
67	TCGA.B0.4828.01A	2	1
68	TCGA.B0.4841.01A	2	1
69	TCGA.B0.4842.01A	2	1
70	TCGA.B0.4843.01A	2	1
71	TCGA.B0.4844.01A	2	1
72	TCGA.B0.4845.01A	2	1
73	TCGA.B0.4846.01A	2	1
74	TCGA.B0.4847.01A	2	1
75	TCGA.B0.4848.01A	2	1
76	TCGA.B0.4849.01A	2	1
77	TCGA.B0.4852.01A	2	1
78	TCGA.B0.4945.01A	2	1
79	TCGA.B0.5080.01A	2	1
80	TCGA.B0.5083.01A	2	1
81	TCGA.B0.5092.01A	2	1
82	TCGA.B0.5094.01A	2	1
83	TCGA.B0.5095.01A	2	1
84	TCGA.B0.5096.01A	2	1
85	TCGA.B0.5097.01A	2	1
86	TCGA.B0.5098.01A	2	1
87	TCGA.B0.5099.01A	2	1
88	TCGA.B0.5100.01A	2	1
89	TCGA.B0.5102.01A	2	1
90	TCGA.B0.5104.01A	2	1
91	TCGA.B0.5106.01A	2	1
92	TCGA.B0.5107.01A	2	1
93	TCGA.B0.5108.01A	2	1
94	TCGA.B0.5109.01A	2	1
95	TCGA.B0.5110.01A	2	1
96	TCGA.B0.5113.01A	2	1
97	TCGA.B0.5115.01A	2	1
98	TCGA.B0.5116.01A	2	1
99	TCGA.B0.5117.01A	2	1
100	TCGA.B0.5119.01A	2	1
101	TCGA.B0.5120.01A	2	1
102	TCGA.B0.5121.01A	2	1
103	TCGA.B0.5399.01A	2	1
104	TCGA.B0.5400.01A	2	1
105	TCGA.B0.5402.01A	2	1
106	TCGA.B0.5402.11A	2	1
107	TCGA.B0.5690.01A	2	1
108	TCGA.B0.5691.01A	2	1
109	TCGA.B0.5692.01A	2	1
110	TCGA.B0.5693.01A	2	1
111	TCGA.B0.5694.01A	2	1
112	TCGA.B0.5695.01A	2	1
113	TCGA.B0.5696.01A	2	1
114	TCGA.B0.5697.01A	2	1
