	samples	K	cluster
1	TCGA.05.4384.01A	2	2
2	TCGA.05.4390.01A	2	2
3	TCGA.05.4396.01A	2	2
4	TCGA.05.4405.01A	2	2
5	TCGA.05.4410.01A	2	2
6	TCGA.05.4415.01A	2	2
7	TCGA.05.4417.01A	2	2
8	TCGA.05.4424.01A	2	2
9	TCGA.05.4425.01A	2	2
10	TCGA.05.4427.01A	2	2
11	TCGA.05.4433.01A	2	2
12	TCGA.05.5420.01A	2	2
13	TCGA.05.5423.01A	2	2
14	TCGA.05.5425.01A	2	2
15	TCGA.05.5428.01A	2	2
16	TCGA.05.5429.01A	2	2
17	TCGA.05.5715.01A	2	2
18	TCGA.35.5375.01A	2	2
19	TCGA.38.4631.01A	2	2
20	TCGA.38.4632.01A	2	2
21	TCGA.38.6178.01A	2	2
22	TCGA.38.7271.01A	2	2
23	TCGA.38.A44F.01A	2	2
24	TCGA.44.2655.11A	2	1
25	TCGA.44.2656.01A	2	2
26	TCGA.44.2665.01A	2	2
27	TCGA.44.2665.11A	2	1
28	TCGA.44.2666.01A	2	2
29	TCGA.44.2668.01A	2	2
30	TCGA.44.2668.11A	2	1
31	TCGA.44.3918.01A	2	2
32	TCGA.44.4112.01A	2	2
33	TCGA.44.5643.01A	2	2
34	TCGA.44.5644.01A	2	2
35	TCGA.44.5645.01A	2	2
36	TCGA.44.6144.11A	2	2
37	TCGA.44.6145.01A	2	2
38	TCGA.44.6146.01A	2	2
39	TCGA.44.6146.01B	2	2
40	TCGA.44.6147.01A	2	2
41	TCGA.44.6147.01B	2	2
42	TCGA.44.6148.01A	2	2
43	TCGA.44.6774.01A	2	2
44	TCGA.44.6775.01A	2	2
45	TCGA.44.6775.01C	2	2
46	TCGA.44.6776.01A	2	2
47	TCGA.44.6777.01A	2	2
48	TCGA.44.6778.01A	2	2
49	TCGA.44.6778.11A	2	2
50	TCGA.44.6779.01A	2	2
51	TCGA.44.7659.01A	2	2
52	TCGA.44.7660.01A	2	2
53	TCGA.44.7661.01A	2	2
54	TCGA.44.7662.01A	2	2
55	TCGA.44.7667.01A	2	2
56	TCGA.44.7669.01A	2	2
57	TCGA.44.7670.01A	2	2
58	TCGA.44.7671.01A	2	2
59	TCGA.44.7672.01A	2	2
60	TCGA.44.8117.01A	2	2
61	TCGA.44.8119.01A	2	2
62	TCGA.44.8120.01A	2	2
63	TCGA.44.A479.01A	2	2
64	TCGA.44.A47A.01A	2	2
65	TCGA.44.A47B.01A	2	2
66	TCGA.44.A47G.01A	2	2
67	TCGA.44.A4SS.01A	2	2
68	TCGA.44.A4SU.01A	2	2
69	TCGA.49.4487.01A	2	2
70	TCGA.49.4488.01A	2	2
71	TCGA.49.4490.01A	2	2
72	TCGA.49.4512.01A	2	2
73	TCGA.49.4514.01A	2	2
74	TCGA.49.6742.01A	2	2
75	TCGA.49.6743.01A	2	2
76	TCGA.49.6744.01A	2	2
77	TCGA.49.6745.01A	2	2
78	TCGA.49.6745.11A	2	2
79	TCGA.49.6761.01A	2	2
80	TCGA.49.6767.01A	2	2
81	TCGA.49.AAQV.01A	2	2
82	TCGA.49.AAR0.01A	2	2
83	TCGA.49.AAR2.01A	2	2
84	TCGA.49.AAR3.01A	2	2
85	TCGA.49.AAR4.01A	2	2
86	TCGA.49.AAR9.01A	2	2
87	TCGA.49.AARE.01A	2	2
88	TCGA.49.AARN.01A	2	2
89	TCGA.49.AARO.01A	2	2
90	TCGA.49.AARQ.01A	2	2
91	TCGA.49.AARR.01A	2	2
92	TCGA.4B.A93V.01A	2	2
93	TCGA.50.5044.01A	2	2
94	TCGA.50.5045.01A	2	2
95	TCGA.50.5049.01A	2	2
96	TCGA.50.5051.01A	2	2
97	TCGA.50.5055.01A	2	2
98	TCGA.50.5066.01A	2	2
99	TCGA.50.5066.02A	2	2
100	TCGA.50.5068.01A	2	2
101	TCGA.50.5072.01A	2	2
102	TCGA.50.5930.01A	2	2
103	TCGA.50.5930.11A	2	2
104	TCGA.50.5931.01A	2	2
105	TCGA.50.5932.01A	2	2
106	TCGA.50.5932.11A	2	2
107	TCGA.50.5933.01A	2	2
108	TCGA.50.5933.11A	2	2
109	TCGA.50.5935.01A	2	2
110	TCGA.50.5936.01A	2	2
111	TCGA.50.5939.01A	2	2
112	TCGA.50.5941.01A	2	2
113	TCGA.50.5942.01A	2	2
114	TCGA.50.5944.01A	2	2
115	TCGA.50.5946.01A	2	2
116	TCGA.50.5946.02A	2	2
117	TCGA.50.6590.01A	2	2
118	TCGA.50.6591.01A	2	2
119	TCGA.50.6592.01A	2	2
120	TCGA.50.6593.01A	2	2
121	TCGA.50.6594.01A	2	2
122	TCGA.50.6595.01A	2	2
123	TCGA.50.6597.01A	2	2
124	TCGA.50.6673.01A	2	2
125	TCGA.50.7109.01A	2	2
126	TCGA.50.8457.01A	2	2
127	TCGA.50.8459.01A	2	2
128	TCGA.50.8460.01A	2	2
129	TCGA.53.7624.01A	2	2
130	TCGA.53.7626.01A	2	2
131	TCGA.53.7813.01A	2	2
132	TCGA.53.A4EZ.01A	2	2
133	TCGA.55.5899.01A	2	2
134	TCGA.55.6543.01A	2	2
135	TCGA.55.6642.01A	2	2
136	TCGA.55.6712.01A	2	2
137	TCGA.55.6968.01A	2	2
138	TCGA.55.6969.01A	2	2
139	TCGA.55.6970.01A	2	2
140	TCGA.55.6971.01A	2	2
141	TCGA.55.6972.01A	2	2
142	TCGA.55.6978.01A	2	2
143	TCGA.55.6979.01A	2	2
144	TCGA.55.6980.01A	2	2
145	TCGA.55.6981.01A	2	2
146	TCGA.55.6982.01A	2	2
147	TCGA.55.6983.01A	2	2
148	TCGA.55.6984.01A	2	2
149	TCGA.55.6985.01A	2	2
150	TCGA.55.6986.01A	2	2
151	TCGA.55.6987.01A	2	2
152	TCGA.55.7227.01A	2	2
153	TCGA.55.7281.01A	2	2
154	TCGA.55.7283.01A	2	2
155	TCGA.55.7284.01B	2	2
156	TCGA.55.7570.01A	2	2
157	TCGA.55.7573.01A	2	2
158	TCGA.55.7574.01A	2	2
159	TCGA.55.7576.01A	2	2
160	TCGA.55.7724.01A	2	2
161	TCGA.55.7725.01A	2	2
162	TCGA.55.7726.01A	2	2
163	TCGA.55.7727.01A	2	2
164	TCGA.55.7728.01A	2	2
165	TCGA.55.7815.01A	2	2
166	TCGA.55.7816.01A	2	2
167	TCGA.55.7903.01A	2	2
168	TCGA.55.7907.01A	2	2
169	TCGA.55.7910.01A	2	2
170	TCGA.55.7911.01A	2	2
171	TCGA.55.7913.01B	2	2
172	TCGA.55.7914.01A	2	2
173	TCGA.55.7994.01A	2	2
174	TCGA.55.7995.01A	2	2
175	TCGA.55.8085.01A	2	2
176	TCGA.55.8087.01A	2	2
177	TCGA.55.8089.01A	2	2
178	TCGA.55.8090.01A	2	2
179	TCGA.55.8091.01A	2	2
180	TCGA.55.8092.01A	2	2
181	TCGA.55.8094.01A	2	2
182	TCGA.55.8096.01A	2	2
183	TCGA.55.8097.01A	2	2
184	TCGA.55.8203.01A	2	2
185	TCGA.55.8204.01A	2	2
186	TCGA.55.8205.01A	2	2
187	TCGA.55.8206.01A	2	2
188	TCGA.55.8207.01A	2	2
189	TCGA.55.8208.01A	2	2
190	TCGA.55.8299.01A	2	2
191	TCGA.55.8301.01A	2	2
192	TCGA.55.8302.01A	2	2
193	TCGA.55.8505.01A	2	2
194	TCGA.55.8506.01A	2	2
195	TCGA.55.8507.01A	2	2
196	TCGA.55.8508.01A	2	2
197	TCGA.55.8510.01A	2	2
198	TCGA.55.8511.01A	2	2
199	TCGA.55.8512.01A	2	2
200	TCGA.55.8513.01A	2	2
201	TCGA.55.8514.01A	2	2
202	TCGA.55.8614.01A	2	2
203	TCGA.55.8615.01A	2	2
204	TCGA.55.8616.01A	2	2
205	TCGA.55.8619.01A	2	2
206	TCGA.55.8620.01A	2	2
207	TCGA.55.8621.01A	2	2
208	TCGA.55.A48X.01A	2	2
209	TCGA.55.A48Y.01A	2	2
210	TCGA.55.A48Z.01A	2	2
211	TCGA.55.A490.01A	2	2
212	TCGA.55.A491.01A	2	2
213	TCGA.55.A492.01A	2	2
214	TCGA.55.A493.01A	2	2
215	TCGA.55.A494.01A	2	2
216	TCGA.55.A4DF.01A	2	2
217	TCGA.55.A4DG.01A	2	2
218	TCGA.55.A57B.01A	2	2
219	TCGA.62.8394.01A	2	2
220	TCGA.62.8395.01A	2	2
221	TCGA.62.8397.01A	2	2
222	TCGA.62.8398.01A	2	2
223	TCGA.62.8399.01A	2	2
224	TCGA.62.8402.01A	2	2
225	TCGA.62.A46O.01A	2	2
226	TCGA.62.A46P.01A	2	2
227	TCGA.62.A46R.01A	2	2
228	TCGA.62.A46S.01A	2	2
229	TCGA.62.A46U.01A	2	2
230	TCGA.62.A46V.01A	2	2
231	TCGA.62.A46Y.01A	2	2
232	TCGA.62.A470.01A	2	2
233	TCGA.62.A471.01A	2	2
234	TCGA.62.A472.01A	2	2
235	TCGA.64.1679.01A	2	2
236	TCGA.64.1681.01A	2	2
237	TCGA.64.5774.01A	2	2
238	TCGA.64.5775.01A	2	2
239	TCGA.64.5778.01A	2	2
240	TCGA.64.5779.01A	2	2
241	TCGA.64.5781.01A	2	2
242	TCGA.64.5815.01A	2	2
243	TCGA.67.4679.01B	2	2
244	TCGA.67.6215.01A	2	2
245	TCGA.67.6216.01A	2	2
246	TCGA.67.6217.01A	2	2
247	TCGA.69.7760.01A	2	2
248	TCGA.69.7761.01A	2	2
249	TCGA.69.7763.01A	2	2
250	TCGA.69.7764.01A	2	2
251	TCGA.69.7765.01A	2	2
252	TCGA.69.7973.01A	2	2
253	TCGA.69.7974.01A	2	2
254	TCGA.69.7978.01A	2	2
255	TCGA.69.7979.01A	2	2
256	TCGA.69.7980.01A	2	2
257	TCGA.69.8253.01A	2	2
258	TCGA.69.8254.01A	2	2
259	TCGA.69.8255.01A	2	2
260	TCGA.69.8453.01A	2	2
261	TCGA.69.A59K.01A	2	2
262	TCGA.71.6725.01A	2	2
263	TCGA.71.8520.01A	2	2
264	TCGA.73.4658.01A	2	2
265	TCGA.73.4676.01A	2	2
266	TCGA.73.7498.01A	2	2
267	TCGA.73.7499.01A	2	2
268	TCGA.73.A9RS.01A	2	2
269	TCGA.75.5122.01A	2	2
270	TCGA.75.5125.01A	2	2
271	TCGA.75.5126.01A	2	2
272	TCGA.75.5146.01A	2	2
273	TCGA.75.5147.01A	2	2
274	TCGA.75.6203.01A	2	2
275	TCGA.75.6205.01A	2	2
276	TCGA.75.6206.01A	2	2
277	TCGA.75.6207.01A	2	2
278	TCGA.75.6211.01A	2	2
279	TCGA.75.6212.01A	2	2
280	TCGA.75.6214.01A	2	2
281	TCGA.75.7025.01A	2	2
282	TCGA.75.7027.01A	2	2
283	TCGA.75.7030.01A	2	2
284	TCGA.75.7031.01A	2	2
285	TCGA.78.7143.01A	2	2
286	TCGA.78.7145.01A	2	2
287	TCGA.78.7146.01A	2	2
288	TCGA.78.7147.01A	2	2
289	TCGA.78.7148.01A	2	2
290	TCGA.78.7149.01A	2	2
291	TCGA.78.7150.01A	2	2
292	TCGA.78.7152.01A	2	2
293	TCGA.78.7153.01A	2	2
294	TCGA.78.7154.01A	2	2
295	TCGA.78.7155.01A	2	2
296	TCGA.78.7156.01A	2	2
297	TCGA.78.7158.01A	2	2
298	TCGA.78.7159.01A	2	2
299	TCGA.78.7160.01A	2	2
300	TCGA.78.7161.01A	2	2
301	TCGA.78.7162.01A	2	2
302	TCGA.78.7163.01A	2	2
303	TCGA.78.7166.01A	2	2
304	TCGA.78.7167.01A	2	2
305	TCGA.78.7220.01A	2	2
306	TCGA.78.7535.01A	2	2
307	TCGA.78.7536.01A	2	2
308	TCGA.78.7537.01A	2	2
309	TCGA.78.7539.01A	2	2
310	TCGA.78.7540.01A	2	2
311	TCGA.78.7542.01A	2	2
312	TCGA.78.7633.01A	2	2
313	TCGA.78.8640.01A	2	2
314	TCGA.78.8648.01A	2	2
315	TCGA.78.8655.01A	2	2
316	TCGA.78.8660.01A	2	2
317	TCGA.78.8662.01A	2	2
318	TCGA.80.5607.01A	2	2
319	TCGA.80.5608.01A	2	2
320	TCGA.80.5611.01A	2	2
321	TCGA.83.5908.01A	2	2
322	TCGA.86.6562.01A	2	2
323	TCGA.86.6851.01A	2	2
324	TCGA.86.7701.01A	2	2
325	TCGA.86.7711.01A	2	2
326	TCGA.86.7713.01A	2	2
327	TCGA.86.7714.01A	2	2
328	TCGA.86.7953.01A	2	2
329	TCGA.86.7954.01A	2	2
330	TCGA.86.7955.01A	2	2
331	TCGA.86.8054.01A	2	2
332	TCGA.86.8055.01A	2	2
333	TCGA.86.8056.01A	2	2
334	TCGA.86.8073.01A	2	2
335	TCGA.86.8074.01A	2	2
336	TCGA.86.8075.01A	2	2
337	TCGA.86.8076.01A	2	2
338	TCGA.86.8278.01A	2	2
339	TCGA.86.8279.01A	2	2
340	TCGA.86.8280.01A	2	2
341	TCGA.86.8281.01A	2	2
342	TCGA.86.8358.01A	2	2
343	TCGA.86.8359.01A	2	2
344	TCGA.86.8585.01A	2	2
345	TCGA.86.8668.01A	2	2
346	TCGA.86.8669.01A	2	2
347	TCGA.86.8671.01A	2	2
348	TCGA.86.8672.01A	2	2
349	TCGA.86.8673.01A	2	2
350	TCGA.86.8674.01A	2	2
351	TCGA.86.A456.01A	2	2
352	TCGA.86.A4D0.01A	2	2
353	TCGA.86.A4JF.01A	2	2
354	TCGA.86.A4P7.01A	2	2
355	TCGA.86.A4P8.01A	2	2
356	TCGA.91.6828.01A	2	2
357	TCGA.91.6829.01A	2	2
358	TCGA.91.6830.01A	2	2
359	TCGA.91.6831.01A	2	2
360	TCGA.91.6835.01A	2	2
361	TCGA.91.6836.01A	2	2
362	TCGA.91.6840.01A	2	2
363	TCGA.91.6847.01A	2	2
364	TCGA.91.6848.01A	2	2
365	TCGA.91.6849.01A	2	2
366	TCGA.91.7771.01A	2	2
367	TCGA.91.8496.01A	2	2
368	TCGA.91.8497.01A	2	2
369	TCGA.91.8499.01A	2	2
370	TCGA.91.A4BC.01A	2	2
371	TCGA.91.A4BD.01A	2	2
372	TCGA.93.7347.01A	2	2
373	TCGA.93.7348.01A	2	2
374	TCGA.93.8067.01A	2	2
