	samples	K	cluster
1	TCGA.P7.A5NX.01A	2	1
2	TCGA.P7.A5NY.01A	2	1
3	TCGA.P7.A5NY.05A	2	2
4	TCGA.P8.A5KC.01A	2	2
5	TCGA.P8.A5KC.11A	2	2
6	TCGA.P8.A5KD.01A	2	1
7	TCGA.P8.A5KD.11A	2	2
8	TCGA.P8.A6RX.01A	2	2
9	TCGA.P8.A6RY.01A	2	1
10	TCGA.PR.A5PF.01A	2	2
11	TCGA.PR.A5PG.01A	2	1
12	TCGA.PR.A5PH.01A	2	2
13	TCGA.QR.A6GO.01A	2	1
14	TCGA.QR.A6GR.01A	2	2
15	TCGA.QR.A6GS.01A	2	2
16	TCGA.QR.A6GT.01A	2	2
17	TCGA.QR.A6GU.01A	2	1
18	TCGA.QR.A6GW.01A	2	2
19	TCGA.QR.A6GX.01A	2	2
20	TCGA.QR.A6GY.01A	2	1
21	TCGA.QR.A6GZ.01A	2	2
22	TCGA.QR.A6GZ.05A	2	2
23	TCGA.QR.A6H0.01A	2	2
24	TCGA.QR.A6H1.01A	2	2
25	TCGA.QR.A6H2.01A	2	1
26	TCGA.QR.A6H3.01A	2	2
27	TCGA.QR.A6H4.01A	2	1
28	TCGA.QR.A6H5.01A	2	2
29	TCGA.QR.A6H6.01A	2	2
30	TCGA.QR.A6ZZ.01A	2	2
31	TCGA.QR.A700.01A	2	2
32	TCGA.QR.A702.01A	2	1
33	TCGA.QR.A703.01A	2	2
34	TCGA.QR.A705.01A	2	2
35	TCGA.QR.A706.01A	2	2
36	TCGA.QR.A707.01A	2	1
37	TCGA.QR.A708.01A	2	2
38	TCGA.QR.A70A.01A	2	1
39	TCGA.QR.A70C.01A	2	2
40	TCGA.QR.A70D.01A	2	2
41	TCGA.QR.A70E.01A	2	1
42	TCGA.QR.A70G.01B	2	1
43	TCGA.QR.A70H.01A	2	2
44	TCGA.QR.A70I.01A	2	2
45	TCGA.QR.A70J.01A	2	2
46	TCGA.QR.A70K.01A	2	1
47	TCGA.QR.A70M.01A	2	1
48	TCGA.QR.A70N.01A	2	2
49	TCGA.QR.A70O.01A	2	1
50	TCGA.QR.A70P.01A	2	1
51	TCGA.QR.A70Q.01A	2	2
52	TCGA.QR.A70R.01A	2	2
53	TCGA.QR.A70T.01A	2	1
54	TCGA.QR.A70U.01A	2	2
55	TCGA.QR.A70V.01A	2	1
56	TCGA.QR.A70W.01A	2	1
57	TCGA.QR.A70X.01A	2	2
58	TCGA.QR.A7IN.01A	2	1
59	TCGA.QR.A7IP.01A	2	2
60	TCGA.QT.A5XJ.01A	2	1
61	TCGA.QT.A5XK.01A	2	1
62	TCGA.QT.A5XL.01A	2	2
63	TCGA.QT.A5XM.01A	2	2
64	TCGA.QT.A5XN.01A	2	1
65	TCGA.QT.A5XO.01A	2	1
66	TCGA.QT.A5XP.01A	2	2
67	TCGA.QT.A69Q.01A	2	1
68	TCGA.QT.A7U0.01A	2	2
69	TCGA.RM.A68T.01A	2	2
70	TCGA.RM.A68W.01A	2	2
71	TCGA.RT.A6Y9.01A	2	1
72	TCGA.RT.A6YA.01A	2	1
73	TCGA.RT.A6YC.01A	2	1
74	TCGA.RW.A67V.01A	2	1
75	TCGA.RW.A67W.01A	2	1
76	TCGA.RW.A67X.01A	2	2
77	TCGA.RW.A67Y.01A	2	1
78	TCGA.RW.A680.01A	2	2
79	TCGA.RW.A681.01A	2	1
80	TCGA.RW.A684.01A	2	2
81	TCGA.RW.A685.01A	2	1
82	TCGA.RW.A686.01A	2	2
83	TCGA.RW.A686.06A	2	2
84	TCGA.RW.A688.01A	2	1
85	TCGA.RW.A689.01A	2	1
86	TCGA.RW.A68A.01A	2	1
87	TCGA.RW.A68B.01A	2	2
88	TCGA.RW.A68C.01A	2	2
89	TCGA.RW.A68D.01A	2	1
90	TCGA.RW.A68F.01A	2	1
91	TCGA.RW.A68G.01A	2	1
92	TCGA.RW.A7CZ.01A	2	2
93	TCGA.RW.A7D0.01A	2	2
94	TCGA.RW.A8AZ.01A	2	2
95	TCGA.RX.A8JQ.01A	2	1
96	TCGA.S7.A7WL.01A	2	2
97	TCGA.S7.A7WM.01A	2	1
98	TCGA.S7.A7WN.01A	2	1
99	TCGA.S7.A7WO.01A	2	2
100	TCGA.S7.A7WP.01A	2	2
101	TCGA.S7.A7WQ.01A	2	2
102	TCGA.S7.A7WR.01A	2	1
103	TCGA.S7.A7WT.01A	2	1
104	TCGA.S7.A7WU.01A	2	1
105	TCGA.S7.A7WV.01A	2	2
106	TCGA.S7.A7WW.01A	2	2
107	TCGA.S7.A7WX.01A	2	1
108	TCGA.S7.A7X0.01A	2	2
109	TCGA.S7.A7X1.01A	2	2
110	TCGA.S7.A7X2.01A	2	1
111	TCGA.SA.A6C2.01A	2	1
112	TCGA.SP.A6QC.01A	2	2
113	TCGA.SP.A6QD.01A	2	2
114	TCGA.SP.A6QF.01A	2	1
115	TCGA.SP.A6QG.01A	2	2
116	TCGA.SP.A6QH.01A	2	2
117	TCGA.SP.A6QI.01A	2	1
118	TCGA.SP.A6QJ.01A	2	1
119	TCGA.SP.A6QK.01A	2	1
120	TCGA.SQ.A6I4.01A	2	2
121	TCGA.SQ.A6I4.11A	2	2
122	TCGA.SQ.A6I6.01A	2	1
123	TCGA.SR.A6MP.01A	2	1
124	TCGA.SR.A6MQ.01A	2	1
125	TCGA.SR.A6MR.01A	2	2
126	TCGA.SR.A6MS.01A	2	1
127	TCGA.SR.A6MT.01A	2	1
128	TCGA.SR.A6MU.01A	2	2
129	TCGA.SR.A6MV.01A	2	2
130	TCGA.SR.A6MX.01A	2	2
131	TCGA.SR.A6MX.05A	2	2
132	TCGA.SR.A6MX.06A	2	2
133	TCGA.SR.A6MY.01A	2	1
134	TCGA.SR.A6MZ.01A	2	1
135	TCGA.SR.A6N0.01A	2	2
136	TCGA.TT.A6YJ.01A	2	1
137	TCGA.TT.A6YK.01A	2	2
138	TCGA.TT.A6YN.01A	2	1
139	TCGA.TT.A6YO.01A	2	2
140	TCGA.TT.A6YP.01A	2	2
141	TCGA.W2.A7H5.01B	2	1
142	TCGA.W2.A7H7.01A	2	2
143	TCGA.W2.A7HA.01B	2	2
144	TCGA.W2.A7HB.01A	2	1
145	TCGA.W2.A7HC.01A	2	1
146	TCGA.W2.A7HD.01A	2	1
147	TCGA.W2.A7HE.01A	2	1
148	TCGA.W2.A7HF.01A	2	1
149	TCGA.W2.A7HH.01A	2	2
