	samples	K	cluster
1	TCGA.2A.A8VL.01A	2	1
2	TCGA.2A.A8VO.01A	2	1
3	TCGA.2A.A8VT.01A	2	2
4	TCGA.2A.A8VV.01A	2	1
5	TCGA.2A.A8VX.01A	2	2
6	TCGA.2A.A8W1.01A	2	2
7	TCGA.2A.A8W3.01A	2	1
8	TCGA.2A.AAYF.01A	2	2
9	TCGA.2A.AAYO.01A	2	1
10	TCGA.2A.AAYU.01A	2	2
11	TCGA.4L.AA1F.01A	2	2
12	TCGA.CH.5737.01A	2	2
13	TCGA.CH.5738.01A	2	1
14	TCGA.CH.5739.01A	2	1
15	TCGA.CH.5740.01A	2	2
16	TCGA.CH.5741.01A	2	2
17	TCGA.CH.5743.01A	2	1
18	TCGA.CH.5744.01A	2	1
19	TCGA.CH.5745.01A	2	1
20	TCGA.CH.5746.01A	2	1
21	TCGA.CH.5748.01A	2	1
22	TCGA.CH.5750.01A	2	1
23	TCGA.CH.5752.01A	2	2
24	TCGA.CH.5753.01A	2	2
25	TCGA.CH.5754.01A	2	1
26	TCGA.CH.5761.01A	2	2
27	TCGA.CH.5761.11A	2	1
28	TCGA.CH.5762.01A	2	1
29	TCGA.CH.5763.01A	2	1
30	TCGA.CH.5764.01A	2	1
31	TCGA.CH.5765.01A	2	2
32	TCGA.CH.5766.01A	2	1
33	TCGA.CH.5767.01A	2	1
34	TCGA.CH.5767.11B	2	1
35	TCGA.CH.5768.01A	2	1
36	TCGA.CH.5768.11A	2	1
37	TCGA.CH.5769.01A	2	1
38	TCGA.CH.5769.11A	2	1
39	TCGA.CH.5771.01A	2	1
40	TCGA.CH.5772.01A	2	2
41	TCGA.CH.5788.01A	2	2
42	TCGA.CH.5789.01A	2	1
43	TCGA.CH.5790.01A	2	2
44	TCGA.CH.5791.01A	2	1
45	TCGA.CH.5792.01A	2	1
46	TCGA.CH.5794.01A	2	1
47	TCGA.EJ.5494.01A	2	2
48	TCGA.EJ.5495.01A	2	1
49	TCGA.EJ.5496.01A	2	1
50	TCGA.EJ.5497.01A	2	1
51	TCGA.EJ.5498.01A	2	1
52	TCGA.EJ.5499.01A	2	1
53	TCGA.EJ.5501.01A	2	1
54	TCGA.EJ.5502.01A	2	1
55	TCGA.EJ.5503.01A	2	1
56	TCGA.EJ.5504.01A	2	1
57	TCGA.EJ.5505.01A	2	2
58	TCGA.EJ.5506.01A	2	1
59	TCGA.EJ.5507.01A	2	1
60	TCGA.EJ.5508.01A	2	1
61	TCGA.EJ.5509.01A	2	1
62	TCGA.EJ.5510.01A	2	1
63	TCGA.EJ.5511.01A	2	2
64	TCGA.EJ.5512.01A	2	1
65	TCGA.EJ.5514.01A	2	1
66	TCGA.EJ.5515.01A	2	1
67	TCGA.EJ.5516.01A	2	1
68	TCGA.EJ.5517.01A	2	1
69	TCGA.EJ.5518.01A	2	1
70	TCGA.EJ.5519.01A	2	1
71	TCGA.EJ.5521.01A	2	1
72	TCGA.EJ.5522.01A	2	1
73	TCGA.EJ.5524.01A	2	1
74	TCGA.EJ.5525.01A	2	2
75	TCGA.EJ.5526.01A	2	1
76	TCGA.EJ.5527.01A	2	1
77	TCGA.EJ.5530.01A	2	1
78	TCGA.EJ.5531.01A	2	1
79	TCGA.EJ.5532.01A	2	1
80	TCGA.EJ.5542.01A	2	1
81	TCGA.EJ.7115.01A	2	1
82	TCGA.EJ.7123.01A	2	1
83	TCGA.EJ.7123.11A	2	1
84	TCGA.EJ.7125.01A	2	2
85	TCGA.EJ.7125.11A	2	1
86	TCGA.EJ.7218.01B	2	2
87	TCGA.EJ.7312.01B	2	2
88	TCGA.EJ.7314.01A	2	1
89	TCGA.EJ.7315.01A	2	1
90	TCGA.EJ.7317.01A	2	2
91	TCGA.EJ.7317.11A	2	1
92	TCGA.EJ.7318.01B	2	1
93	TCGA.EJ.7321.01A	2	1
94	TCGA.EJ.7325.01B	2	2
95	TCGA.EJ.7327.01A	2	1
96	TCGA.EJ.7327.11A	2	1
97	TCGA.EJ.7328.01A	2	1
98	TCGA.EJ.7328.11A	2	1
99	TCGA.EJ.7330.01A	2	1
100	TCGA.EJ.7331.01A	2	1
101	TCGA.EJ.7331.11A	2	1
102	TCGA.EJ.7781.01A	2	1
103	TCGA.EJ.7781.11A	2	1
104	TCGA.EJ.7782.01A	2	2
105	TCGA.EJ.7782.11A	2	1
106	TCGA.EJ.7783.01A	2	1
107	TCGA.EJ.7784.01A	2	2
108	TCGA.EJ.7784.11A	2	1
109	TCGA.EJ.7785.01A	2	1
110	TCGA.EJ.7785.11A	2	1
111	TCGA.EJ.7786.01A	2	1
112	TCGA.EJ.7786.11A	2	1
113	TCGA.EJ.7788.01A	2	1
114	TCGA.EJ.7789.01A	2	2
115	TCGA.EJ.7789.11A	2	1
116	TCGA.EJ.7791.01A	2	1
117	TCGA.EJ.7792.01A	2	1
118	TCGA.EJ.7792.11A	2	1
119	TCGA.EJ.7793.01A	2	1
120	TCGA.EJ.7794.01A	2	1
121	TCGA.EJ.7794.11A	2	1
122	TCGA.EJ.7797.01A	2	1
123	TCGA.EJ.8468.01A	2	1
124	TCGA.EJ.8469.01A	2	2
125	TCGA.EJ.8470.01A	2	1
126	TCGA.EJ.8472.01A	2	1
127	TCGA.EJ.8474.01A	2	1
128	TCGA.EJ.A46B.01A	2	1
129	TCGA.EJ.A46D.01A	2	1
130	TCGA.EJ.A46E.01A	2	1
131	TCGA.EJ.A46F.01A	2	2
132	TCGA.EJ.A46G.01A	2	2
133	TCGA.EJ.A46H.01A	2	1
134	TCGA.EJ.A46I.01A	2	1
135	TCGA.EJ.A65B.01A	2	1
136	TCGA.EJ.A65D.01A	2	2
137	TCGA.EJ.A65E.01A	2	1
138	TCGA.EJ.A65F.01A	2	1
139	TCGA.EJ.A65G.01A	2	1
140	TCGA.EJ.A65J.01A	2	2
141	TCGA.EJ.A65M.01A	2	1
142	TCGA.EJ.A6RA.01A	2	1
143	TCGA.EJ.A6RC.01A	2	1
144	TCGA.EJ.A7NF.01A	2	2
145	TCGA.EJ.A7NG.01A	2	1
146	TCGA.EJ.A7NH.01A	2	2
147	TCGA.EJ.A7NJ.01A	2	1
148	TCGA.EJ.A7NK.01A	2	1
149	TCGA.EJ.A7NM.01A	2	2
150	TCGA.EJ.A7NN.01A	2	2
151	TCGA.EJ.A8FN.01A	2	1
152	TCGA.EJ.A8FO.01A	2	1
153	TCGA.EJ.A8FP.01A	2	1
154	TCGA.EJ.A8FS.01A	2	2
155	TCGA.EJ.A8FU.01A	2	1
156	TCGA.EJ.AB20.01A	2	1
157	TCGA.EJ.AB27.01A	2	1
158	TCGA.FC.7708.01A	2	1
159	TCGA.FC.7961.01A	2	2
160	TCGA.FC.A4JI.01A	2	2
161	TCGA.FC.A5OB.01A	2	2
162	TCGA.FC.A66V.01A	2	1
163	TCGA.FC.A6HD.01A	2	2
164	TCGA.FC.A8O0.01A	2	1
165	TCGA.G9.6329.01A	2	1
166	TCGA.G9.6332.01A	2	2
167	TCGA.G9.6333.01A	2	1
168	TCGA.G9.6333.11A	2	1
169	TCGA.G9.6336.01A	2	1
170	TCGA.G9.6338.01A	2	1
171	TCGA.G9.6339.01A	2	1
172	TCGA.G9.6342.01A	2	1
173	TCGA.G9.6342.11A	2	1
174	TCGA.G9.6343.01A	2	1
175	TCGA.G9.6347.01A	2	1
176	TCGA.G9.6348.01A	2	1
177	TCGA.G9.6348.11A	2	1
178	TCGA.G9.6351.01A	2	1
179	TCGA.G9.6351.11A	2	1
180	TCGA.G9.6353.01A	2	1
181	TCGA.G9.6354.01A	2	1
182	TCGA.G9.6356.01A	2	1
183	TCGA.G9.6356.11A	2	1
184	TCGA.G9.6361.01A	2	1
185	TCGA.G9.6362.01A	2	2
186	TCGA.G9.6362.11A	2	1
187	TCGA.G9.6363.01A	2	1
188	TCGA.G9.6363.11A	2	1
189	TCGA.G9.6364.01A	2	1
190	TCGA.G9.6365.01A	2	1
191	TCGA.G9.6365.11A	2	1
192	TCGA.G9.6366.01A	2	1
193	TCGA.G9.6367.01A	2	1
194	TCGA.G9.6369.01A	2	2
195	TCGA.G9.6370.01A	2	1
196	TCGA.G9.6371.01A	2	2
197	TCGA.G9.6373.01A	2	1
198	TCGA.G9.6377.01A	2	1
199	TCGA.G9.6378.01A	2	1
200	TCGA.G9.6379.01A	2	1
201	TCGA.G9.6384.01A	2	1
202	TCGA.G9.6384.11A	2	1
203	TCGA.G9.6385.01A	2	1
204	TCGA.G9.6494.01A	2	1
205	TCGA.G9.6496.01A	2	1
206	TCGA.G9.6496.11A	2	1
207	TCGA.G9.6498.01A	2	1
208	TCGA.G9.6499.01A	2	1
209	TCGA.G9.6499.11A	2	1
210	TCGA.G9.7509.01A	2	1
211	TCGA.G9.7510.01A	2	1
212	TCGA.G9.7519.01A	2	1
213	TCGA.G9.7521.01A	2	1
214	TCGA.G9.7522.01A	2	1
215	TCGA.G9.7523.01A	2	1
216	TCGA.G9.7525.01A	2	1
217	TCGA.G9.A9S0.01A	2	1
218	TCGA.G9.A9S4.01A	2	2
219	TCGA.G9.A9S7.01A	2	2
220	TCGA.H9.7775.01A	2	1
221	TCGA.H9.A6BX.01A	2	1
222	TCGA.H9.A6BY.01A	2	2
223	TCGA.HC.7075.01A	2	2
224	TCGA.HC.7077.01A	2	2
225	TCGA.HC.7078.01A	2	1
226	TCGA.HC.7079.01A	2	1
227	TCGA.HC.7080.01A	2	2
228	TCGA.HC.7081.01A	2	1
229	TCGA.HC.7209.01A	2	1
230	TCGA.HC.7210.01A	2	1
231	TCGA.HC.7211.01A	2	1
232	TCGA.HC.7211.11A	2	1
233	TCGA.HC.7212.01A	2	2
234	TCGA.HC.7213.01A	2	2
235	TCGA.HC.7230.01A	2	2
236	TCGA.HC.7231.01A	2	1
237	TCGA.HC.7232.01A	2	1
238	TCGA.HC.7233.01A	2	1
239	TCGA.HC.7736.01A	2	1
240	TCGA.HC.7737.01A	2	1
241	TCGA.HC.7737.11A	2	1
242	TCGA.HC.7738.01A	2	1
243	TCGA.HC.7740.01A	2	1
244	TCGA.HC.7740.01B	2	1
245	TCGA.HC.7742.01A	2	1
246	TCGA.HC.7742.11A	2	1
247	TCGA.HC.7744.01A	2	2
248	TCGA.HC.7745.01A	2	1
249	TCGA.HC.7745.11A	2	1
250	TCGA.HC.7747.01A	2	1
251	TCGA.HC.7748.01A	2	1
252	TCGA.HC.7749.01A	2	1
253	TCGA.HC.7750.01A	2	1
254	TCGA.HC.7752.01A	2	2
255	TCGA.HC.7752.11A	2	1
256	TCGA.HC.7817.01B	2	1
257	TCGA.HC.7818.01A	2	1
258	TCGA.HC.7819.01A	2	2
259	TCGA.HC.7819.11A	2	1
260	TCGA.HC.7820.01A	2	1
261	TCGA.HC.7821.01A	2	2
262	TCGA.HC.8213.01A	2	2
263	TCGA.HC.8216.01A	2	1
264	TCGA.HC.8256.01A	2	2
265	TCGA.HC.8257.01A	2	2
266	TCGA.HC.8258.01A	2	1
267	TCGA.HC.8258.01B	2	1
268	TCGA.HC.8259.01A	2	1
269	TCGA.HC.8260.01A	2	1
270	TCGA.HC.8261.01A	2	1
271	TCGA.HC.8261.01B	2	1
272	TCGA.HC.8262.01A	2	1
273	TCGA.HC.8264.01B	2	1
274	TCGA.HC.8265.01A	2	1
275	TCGA.HC.8265.01B	2	1
276	TCGA.HC.8266.01A	2	1
277	TCGA.HC.A48F.01A	2	2
278	TCGA.HC.A4ZV.01A	2	2
279	TCGA.HC.A631.01A	2	2
280	TCGA.HC.A632.01A	2	2
281	TCGA.HC.A6AL.01A	2	2
282	TCGA.HC.A6AN.01A	2	2
283	TCGA.HC.A6AO.01A	2	2
284	TCGA.HC.A6AP.01A	2	1
285	TCGA.HC.A6AQ.01A	2	2
286	TCGA.HC.A6AS.01A	2	1
287	TCGA.HC.A6HX.01A	2	1
288	TCGA.HC.A6HY.01A	2	2
289	TCGA.HC.A76W.01A	2	1
290	TCGA.HC.A76X.01A	2	2
291	TCGA.HC.A8CY.01A	2	2
292	TCGA.HC.A8D0.01A	2	1
293	TCGA.HC.A8D1.01A	2	1
294	TCGA.HC.A9TE.01A	2	1
