	samples	K	cluster
1	TCGA.3M.AB46.01A	2	2
2	TCGA.3M.AB47.01A	2	1
3	TCGA.B7.5816.01A	2	1
4	TCGA.B7.5818.01A	2	2
5	TCGA.B7.A5TI.01A	2	2
6	TCGA.B7.A5TJ.01A	2	2
7	TCGA.B7.A5TK.01A	2	1
8	TCGA.B7.A5TN.01A	2	2
9	TCGA.BR.6452.01A	2	2
10	TCGA.BR.6453.01A	2	1
11	TCGA.BR.6454.01A	2	1
12	TCGA.BR.6455.01A	2	2
13	TCGA.BR.6456.01A	2	1
14	TCGA.BR.6457.01A	2	1
15	TCGA.BR.6458.01A	2	1
16	TCGA.BR.6563.01A	2	1
17	TCGA.BR.6564.01A	2	1
18	TCGA.BR.6565.01A	2	1
19	TCGA.BR.6566.01A	2	2
20	TCGA.BR.6705.01A	2	1
21	TCGA.BR.6706.01A	2	1
22	TCGA.BR.6707.01A	2	2
23	TCGA.BR.6709.01A	2	1
24	TCGA.BR.6710.01A	2	2
25	TCGA.BR.6801.01A	2	2
26	TCGA.BR.6802.01A	2	1
27	TCGA.BR.6803.01A	2	1
28	TCGA.BR.6852.01A	2	1
29	TCGA.BR.7196.01A	2	1
30	TCGA.BR.7197.01A	2	2
31	TCGA.BR.7703.01A	2	2
32	TCGA.BR.7704.01A	2	2
33	TCGA.BR.7707.01A	2	2
34	TCGA.BR.7715.01A	2	2
35	TCGA.BR.7716.01A	2	1
36	TCGA.BR.7717.01A	2	2
37	TCGA.BR.7722.01A	2	1
38	TCGA.BR.7723.01A	2	2
39	TCGA.BR.7851.01A	2	2
40	TCGA.BR.7901.01A	2	1
41	TCGA.BR.7957.01A	2	1
42	TCGA.BR.7958.01A	2	2
43	TCGA.BR.7959.01A	2	1
44	TCGA.BR.8058.01A	2	1
45	TCGA.BR.8059.01A	2	1
46	TCGA.BR.8060.01A	2	2
47	TCGA.BR.8077.01A	2	2
48	TCGA.BR.8078.01A	2	2
49	TCGA.BR.8080.01A	2	1
50	TCGA.BR.8081.01A	2	1
51	TCGA.BR.8284.01A	2	1
52	TCGA.BR.8286.01A	2	2
53	TCGA.BR.8289.01A	2	1
54	TCGA.BR.8291.01A	2	1
55	TCGA.BR.8295.01A	2	2
56	TCGA.BR.8296.01A	2	1
57	TCGA.BR.8297.01A	2	1
58	TCGA.BR.8361.01A	2	2
59	TCGA.BR.8362.01A	2	1
60	TCGA.BR.8363.01A	2	2
61	TCGA.BR.8364.01A	2	1
62	TCGA.BR.8365.01A	2	1
63	TCGA.BR.8366.01A	2	2
64	TCGA.BR.8367.01A	2	1
65	TCGA.BR.8368.01A	2	2
66	TCGA.BR.8369.01A	2	1
67	TCGA.BR.8371.01A	2	1
68	TCGA.BR.8372.01A	2	2
69	TCGA.BR.8373.01A	2	2
70	TCGA.BR.8380.01A	2	1
71	TCGA.BR.8381.01A	2	2
72	TCGA.BR.8382.01A	2	2
73	TCGA.BR.8384.01A	2	1
74	TCGA.BR.8483.01A	2	2
75	TCGA.BR.8484.01A	2	1
76	TCGA.BR.8485.01A	2	1
77	TCGA.BR.8486.01A	2	1
78	TCGA.BR.8487.01A	2	2
79	TCGA.BR.8588.01A	2	1
80	TCGA.BR.8589.01A	2	2
