	samples	K	cluster
1	TCGA.4C.A93U.01A	2	2
2	TCGA.BJ.A0YZ.01A	2	1
3	TCGA.BJ.A0Z0.01A	2	1
4	TCGA.BJ.A0Z2.01A	2	1
5	TCGA.BJ.A0Z3.01A	2	2
6	TCGA.BJ.A0Z5.01A	2	1
7	TCGA.BJ.A0Z9.01A	2	1
8	TCGA.BJ.A0ZA.01A	2	1
9	TCGA.BJ.A0ZB.01A	2	1
10	TCGA.BJ.A0ZC.01A	2	1
11	TCGA.BJ.A0ZE.01A	2	1
12	TCGA.BJ.A0ZF.01A	2	1
13	TCGA.BJ.A0ZG.01A	2	1
14	TCGA.BJ.A0ZH.01A	2	1
15	TCGA.BJ.A0ZJ.01A	2	2
16	TCGA.BJ.A18Y.01A	2	1
17	TCGA.BJ.A18Z.01A	2	2
18	TCGA.BJ.A190.01A	2	1
19	TCGA.BJ.A191.01A	2	1
20	TCGA.BJ.A192.01A	2	1
21	TCGA.BJ.A28R.01A	2	1
22	TCGA.BJ.A28R.11A	2	2
23	TCGA.BJ.A28S.01A	2	1
24	TCGA.BJ.A28T.01A	2	2
25	TCGA.BJ.A28V.01A	2	1
26	TCGA.BJ.A28W.01A	2	2
27	TCGA.BJ.A28W.11A	2	2
28	TCGA.BJ.A28X.01A	2	2
29	TCGA.BJ.A28X.11A	2	2
30	TCGA.BJ.A28Z.01A	2	2
31	TCGA.BJ.A290.01A	2	1
32	TCGA.BJ.A290.11A	2	1
33	TCGA.BJ.A291.01A	2	1
34	TCGA.BJ.A2N7.01A	2	1
35	TCGA.BJ.A2N7.11A	2	1
36	TCGA.BJ.A2N8.01A	2	1
37	TCGA.BJ.A2N8.11A	2	1
38	TCGA.BJ.A2N9.01A	2	1
39	TCGA.BJ.A2N9.11A	2	2
40	TCGA.BJ.A2NA.01A	2	1
41	TCGA.BJ.A2NA.11A	2	2
42	TCGA.BJ.A2P4.01A	2	1
43	TCGA.BJ.A3EZ.01A	2	1
44	TCGA.BJ.A3F0.01A	2	1
45	TCGA.BJ.A3PR.01A	2	2
46	TCGA.BJ.A3PR.11A	2	2
47	TCGA.BJ.A3PT.01A	2	1
48	TCGA.BJ.A3PU.01A	2	1
49	TCGA.BJ.A3PU.11A	2	1
50	TCGA.BJ.A45C.01A	2	1
51	TCGA.BJ.A45D.01A	2	1
52	TCGA.BJ.A45E.01A	2	2
53	TCGA.BJ.A45F.01A	2	1
54	TCGA.BJ.A45G.01A	2	1
55	TCGA.BJ.A45H.01A	2	1
56	TCGA.BJ.A45I.01A	2	2
57	TCGA.BJ.A45J.01A	2	1
58	TCGA.BJ.A45K.01A	2	1
59	TCGA.BJ.A4O8.01A	2	2
60	TCGA.BJ.A4O9.01A	2	1
61	TCGA.CE.A13K.01A	2	1
62	TCGA.CE.A27D.01A	2	2
63	TCGA.CE.A3MD.01A	2	1
64	TCGA.CE.A3ME.01A	2	1
65	TCGA.CE.A481.01A	2	1
66	TCGA.CE.A482.01A	2	1
67	TCGA.CE.A483.01A	2	1
68	TCGA.CE.A484.01A	2	1
69	TCGA.CE.A485.01A	2	1
70	TCGA.DE.A0XZ.01A	2	2
71	TCGA.DE.A0Y2.01A	2	1
72	TCGA.DE.A0Y3.01B	2	1
73	TCGA.DE.A2OL.01A	2	1
74	TCGA.DE.A3KN.01A	2	1
75	TCGA.DE.A4M8.01A	2	2
