	samples	K	cluster
1	TCGA.3G.AB0O.01A	2	2
2	TCGA.3G.AB0Q.01A	2	2
3	TCGA.3G.AB0T.01A	2	2
4	TCGA.3G.AB14.01A	2	1
5	TCGA.3G.AB19.01A	2	2
6	TCGA.3Q.A9WF.01A	2	2
7	TCGA.3S.A8YW.01A	2	2
8	TCGA.3S.AAYX.01A	2	1
9	TCGA.3T.AA9L.01A	2	2
10	TCGA.4V.A9QI.01A	2	2
11	TCGA.4V.A9QJ.01A	2	1
12	TCGA.4V.A9QL.01A	2	1
13	TCGA.4V.A9QM.01A	2	2
14	TCGA.4V.A9QN.01A	2	2
15	TCGA.4V.A9QR.01A	2	2
16	TCGA.4V.A9QS.01A	2	1
17	TCGA.4V.A9QT.01A	2	1
18	TCGA.4V.A9QU.01A	2	1
19	TCGA.4V.A9QW.01A	2	1
20	TCGA.4V.A9QX.01A	2	1
21	TCGA.4X.A9F9.01A	2	1
22	TCGA.4X.A9FA.01A	2	2
23	TCGA.4X.A9FB.01A	2	2
24	TCGA.4X.A9FC.01A	2	1
25	TCGA.4X.A9FD.01A	2	1
26	TCGA.5G.A9ZZ.01A	2	1
27	TCGA.5K.AAAP.01A	2	1
28	TCGA.5U.AB0D.01A	2	2
29	TCGA.5U.AB0E.01A	2	2
30	TCGA.5U.AB0F.01A	2	1
31	TCGA.5V.A9RR.01A	2	2
32	TCGA.X7.A8D6.01A	2	2
33	TCGA.X7.A8D6.11A	2	1
34	TCGA.X7.A8D7.01A	2	2
35	TCGA.X7.A8D7.11A	2	2
36	TCGA.X7.A8D8.01A	2	2
37	TCGA.X7.A8D9.01A	2	2
38	TCGA.X7.A8DB.01A	2	1
39	TCGA.X7.A8DD.01A	2	2
40	TCGA.X7.A8DE.01A	2	2
41	TCGA.X7.A8DF.01A	2	1
42	TCGA.X7.A8DG.01A	2	2
43	TCGA.X7.A8DJ.01A	2	1
44	TCGA.X7.A8M0.01A	2	1
45	TCGA.X7.A8M1.01A	2	1
46	TCGA.X7.A8M3.01A	2	2
47	TCGA.X7.A8M4.01A	2	2
48	TCGA.X7.A8M5.01A	2	2
49	TCGA.X7.A8M6.01A	2	1
50	TCGA.X7.A8M7.01A	2	2
51	TCGA.X7.A8M8.01A	2	1
52	TCGA.XH.A853.01A	2	2
53	TCGA.XM.A8R8.01A	2	1
54	TCGA.XM.A8R9.01A	2	1
55	TCGA.XM.A8RB.01A	2	1
56	TCGA.XM.A8RC.01A	2	2
57	TCGA.XM.A8RD.01A	2	1
58	TCGA.XM.A8RE.01A	2	2
59	TCGA.XM.A8RF.01A	2	2
60	TCGA.XM.A8RG.01A	2	1
61	TCGA.XM.A8RH.01A	2	1
62	TCGA.XM.A8RI.01A	2	1
63	TCGA.XM.A8RL.01A	2	1
64	TCGA.XM.AAZ1.01A	2	1
65	TCGA.XM.AAZ2.01A	2	2
66	TCGA.XM.AAZ3.01A	2	2
67	TCGA.XU.A92O.01A	2	1
68	TCGA.XU.A92Q.01A	2	2
69	TCGA.XU.A92T.01A	2	2
70	TCGA.XU.A92U.01A	2	1
71	TCGA.XU.A92V.01A	2	2
72	TCGA.XU.A92W.01A	2	1
73	TCGA.XU.A92X.01A	2	2
74	TCGA.XU.A92Y.01A	2	1
75	TCGA.XU.A92Z.01A	2	1
76	TCGA.XU.A930.01A	2	2
77	TCGA.XU.A931.01A	2	1
78	TCGA.XU.A932.01A	2	1
79	TCGA.XU.A933.01A	2	2
80	TCGA.XU.A936.01A	2	1
81	TCGA.XU.AAXV.01A	2	2
82	TCGA.XU.AAXW.01A	2	1
83	TCGA.XU.AAXX.01A	2	2
84	TCGA.XU.AAXY.01A	2	2
85	TCGA.XU.AAXZ.01A	2	1
86	TCGA.XU.AAY0.01A	2	1
87	TCGA.XU.AAY1.01A	2	1
88	TCGA.YT.A95D.01A	2	2
89	TCGA.YT.A95E.01A	2	1
90	TCGA.YT.A95F.01A	2	1
91	TCGA.YT.A95G.01A	2	1
92	TCGA.YT.A95H.01A	2	1
93	TCGA.ZB.A961.01A	2	1
94	TCGA.ZB.A962.01A	2	2
95	TCGA.ZB.A963.01A	2	2
96	TCGA.ZB.A964.01A	2	1
97	TCGA.ZB.A965.01A	2	1
98	TCGA.ZB.A966.01A	2	2
99	TCGA.ZB.A969.01A	2	2
100	TCGA.ZB.A96A.01A	2	1
101	TCGA.ZB.A96B.01A	2	2
102	TCGA.ZB.A96C.01A	2	2
103	TCGA.ZB.A96D.01A	2	1
104	TCGA.ZB.A96E.01A	2	1
105	TCGA.ZB.A96F.01A	2	2
106	TCGA.ZB.A96G.01A	2	2
107	TCGA.ZB.A96H.01A	2	1
108	TCGA.ZB.A96I.01A	2	1
109	TCGA.ZB.A96K.01A	2	1
110	TCGA.ZB.A96L.01A	2	2
111	TCGA.ZB.A96M.01A	2	1
112	TCGA.ZB.A96O.01A	2	1
113	TCGA.ZB.A96P.01A	2	1
114	TCGA.ZB.A96Q.01A	2	1
115	TCGA.ZB.A96R.01A	2	1
116	TCGA.ZB.A96V.01A	2	2
117	TCGA.ZC.AAA7.01A	2	1
118	TCGA.ZC.AAAA.01A	2	2
119	TCGA.ZC.AAAF.01A	2	2
120	TCGA.ZC.AAAH.01A	2	2
121	TCGA.ZL.A9V6.01A	2	1
122	TCGA.ZT.A8OM.01A	2	1
123	TCGA.3G.AB0O.01A	3	3
124	TCGA.3G.AB0Q.01A	3	2
125	TCGA.3G.AB0T.01A	3	2
126	TCGA.3G.AB14.01A	3	2
127	TCGA.3G.AB19.01A	3	1
128	TCGA.3Q.A9WF.01A	3	2
129	TCGA.3S.A8YW.01A	3	2
130	TCGA.3S.AAYX.01A	3	3
131	TCGA.3T.AA9L.01A	3	3
132	TCGA.4V.A9QI.01A	3	3
133	TCGA.4V.A9QJ.01A	3	2
134	TCGA.4V.A9QL.01A	3	1
135	TCGA.4V.A9QM.01A	3	2
136	TCGA.4V.A9QN.01A	3	2
137	TCGA.4V.A9QR.01A	3	2
138	TCGA.4V.A9QS.01A	3	3
139	TCGA.4V.A9QT.01A	3	3
140	TCGA.4V.A9QU.01A	3	3
141	TCGA.4V.A9QW.01A	3	3
142	TCGA.4V.A9QX.01A	3	2
143	TCGA.4X.A9F9.01A	3	2
144	TCGA.4X.A9FA.01A	3	3
145	TCGA.4X.A9FB.01A	3	3
146	TCGA.4X.A9FC.01A	3	3
147	TCGA.4X.A9FD.01A	3	3
148	TCGA.5G.A9ZZ.01A	3	3
149	TCGA.5K.AAAP.01A	3	1
150	TCGA.5U.AB0D.01A	3	2
151	TCGA.5U.AB0E.01A	3	2
152	TCGA.5U.AB0F.01A	3	2
153	TCGA.5V.A9RR.01A	3	1
154	TCGA.X7.A8D6.01A	3	3
155	TCGA.X7.A8D6.11A	3	3
156	TCGA.X7.A8D7.01A	3	3
157	TCGA.X7.A8D7.11A	3	3
158	TCGA.X7.A8D8.01A	3	2
159	TCGA.X7.A8D9.01A	3	1
160	TCGA.X7.A8DB.01A	3	3
161	TCGA.X7.A8DD.01A	3	2
162	TCGA.X7.A8DE.01A	3	2
163	TCGA.X7.A8DF.01A	3	2
164	TCGA.X7.A8DG.01A	3	3
165	TCGA.X7.A8DJ.01A	3	2
166	TCGA.X7.A8M0.01A	3	3
167	TCGA.X7.A8M1.01A	3	1
168	TCGA.X7.A8M3.01A	3	2
169	TCGA.X7.A8M4.01A	3	3
170	TCGA.X7.A8M5.01A	3	2
171	TCGA.X7.A8M6.01A	3	2
172	TCGA.X7.A8M7.01A	3	3
173	TCGA.X7.A8M8.01A	3	3
174	TCGA.XH.A853.01A	3	3
175	TCGA.XM.A8R8.01A	3	3
176	TCGA.XM.A8R9.01A	3	3
177	TCGA.XM.A8RB.01A	3	3
178	TCGA.XM.A8RC.01A	3	2
179	TCGA.XM.A8RD.01A	3	2
180	TCGA.XM.A8RE.01A	3	1
181	TCGA.XM.A8RF.01A	3	2
182	TCGA.XM.A8RG.01A	3	3
183	TCGA.XM.A8RH.01A	3	3
184	TCGA.XM.A8RI.01A	3	2
185	TCGA.XM.A8RL.01A	3	3
186	TCGA.XM.AAZ1.01A	3	3
187	TCGA.XM.AAZ2.01A	3	2
188	TCGA.XM.AAZ3.01A	3	2
189	TCGA.XU.A92O.01A	3	3
190	TCGA.XU.A92Q.01A	3	1
191	TCGA.XU.A92T.01A	3	2
192	TCGA.XU.A92U.01A	3	3
193	TCGA.XU.A92V.01A	3	1
194	TCGA.XU.A92W.01A	3	3
195	TCGA.XU.A92X.01A	3	3
196	TCGA.XU.A92Y.01A	3	3
197	TCGA.XU.A92Z.01A	3	3
198	TCGA.XU.A930.01A	3	1
199	TCGA.XU.A931.01A	3	3
200	TCGA.XU.A932.01A	3	3
201	TCGA.XU.A933.01A	3	2
202	TCGA.XU.A936.01A	3	3
203	TCGA.XU.AAXV.01A	3	3
204	TCGA.XU.AAXW.01A	3	3
205	TCGA.XU.AAXX.01A	3	3
206	TCGA.XU.AAXY.01A	3	3
207	TCGA.XU.AAXZ.01A	3	3
208	TCGA.XU.AAY0.01A	3	2
209	TCGA.XU.AAY1.01A	3	2
210	TCGA.YT.A95D.01A	3	2
211	TCGA.YT.A95E.01A	3	3
212	TCGA.YT.A95F.01A	3	2
213	TCGA.YT.A95G.01A	3	2
214	TCGA.YT.A95H.01A	3	3
215	TCGA.ZB.A961.01A	3	3
216	TCGA.ZB.A962.01A	3	2
217	TCGA.ZB.A963.01A	3	3
218	TCGA.ZB.A964.01A	3	2
219	TCGA.ZB.A965.01A	3	2
220	TCGA.ZB.A966.01A	3	2
221	TCGA.ZB.A969.01A	3	2
222	TCGA.ZB.A96A.01A	3	3
223	TCGA.ZB.A96B.01A	3	1
224	TCGA.ZB.A96C.01A	3	2
225	TCGA.ZB.A96D.01A	3	2
226	TCGA.ZB.A96E.01A	3	2
227	TCGA.ZB.A96F.01A	3	2
228	TCGA.ZB.A96G.01A	3	3
229	TCGA.ZB.A96H.01A	3	2
230	TCGA.ZB.A96I.01A	3	3
231	TCGA.ZB.A96K.01A	3	3
232	TCGA.ZB.A96L.01A	3	2
233	TCGA.ZB.A96M.01A	3	3
234	TCGA.ZB.A96O.01A	3	3
235	TCGA.ZB.A96P.01A	3	3
236	TCGA.ZB.A96Q.01A	3	2
237	TCGA.ZB.A96R.01A	3	3
238	TCGA.ZB.A96V.01A	3	2
239	TCGA.ZC.AAA7.01A	3	3
240	TCGA.ZC.AAAA.01A	3	3
241	TCGA.ZC.AAAF.01A	3	2
242	TCGA.ZC.AAAH.01A	3	3
243	TCGA.ZL.A9V6.01A	3	3
244	TCGA.ZT.A8OM.01A	3	2
245	TCGA.3G.AB0O.01A	4	2
246	TCGA.3G.AB0Q.01A	4	1
247	TCGA.3G.AB0T.01A	4	1
248	TCGA.3G.AB14.01A	4	2
249	TCGA.3G.AB19.01A	4	1
250	TCGA.3Q.A9WF.01A	4	1
251	TCGA.3S.A8YW.01A	4	1
252	TCGA.3S.AAYX.01A	4	2
253	TCGA.3T.AA9L.01A	4	2
254	TCGA.4V.A9QI.01A	4	2
255	TCGA.4V.A9QJ.01A	4	2
256	TCGA.4V.A9QL.01A	4	4
257	TCGA.4V.A9QM.01A	4	1
258	TCGA.4V.A9QN.01A	4	1
259	TCGA.4V.A9QR.01A	4	1
260	TCGA.4V.A9QS.01A	4	2
261	TCGA.4V.A9QT.01A	4	2
262	TCGA.4V.A9QU.01A	4	3
263	TCGA.4V.A9QW.01A	4	3
264	TCGA.4V.A9QX.01A	4	3
265	TCGA.4X.A9F9.01A	4	1
266	TCGA.4X.A9FA.01A	4	1
267	TCGA.4X.A9FB.01A	4	2
268	TCGA.4X.A9FC.01A	4	2
269	TCGA.4X.A9FD.01A	4	2
270	TCGA.5G.A9ZZ.01A	4	2
271	TCGA.5K.AAAP.01A	4	4
272	TCGA.5U.AB0D.01A	4	1
273	TCGA.5U.AB0E.01A	4	2
274	TCGA.5U.AB0F.01A	4	2
275	TCGA.5V.A9RR.01A	4	4
276	TCGA.X7.A8D6.01A	4	1
277	TCGA.X7.A8D6.11A	4	2
278	TCGA.X7.A8D7.01A	4	2
279	TCGA.X7.A8D7.11A	4	2
280	TCGA.X7.A8D8.01A	4	1
281	TCGA.X7.A8D9.01A	4	1
282	TCGA.X7.A8DB.01A	4	2
283	TCGA.X7.A8DD.01A	4	1
284	TCGA.X7.A8DE.01A	4	3
285	TCGA.X7.A8DF.01A	4	3
286	TCGA.X7.A8DG.01A	4	2
287	TCGA.X7.A8DJ.01A	4	3
288	TCGA.X7.A8M0.01A	4	1
289	TCGA.X7.A8M1.01A	4	1
290	TCGA.X7.A8M3.01A	4	1
291	TCGA.X7.A8M4.01A	4	1
292	TCGA.X7.A8M5.01A	4	1
293	TCGA.X7.A8M6.01A	4	1
294	TCGA.X7.A8M7.01A	4	2
295	TCGA.X7.A8M8.01A	4	2
296	TCGA.XH.A853.01A	4	1
297	TCGA.XM.A8R8.01A	4	2
298	TCGA.XM.A8R9.01A	4	2
299	TCGA.XM.A8RB.01A	4	2
300	TCGA.XM.A8RC.01A	4	1
301	TCGA.XM.A8RD.01A	4	1
302	TCGA.XM.A8RE.01A	4	4
303	TCGA.XM.A8RF.01A	4	1
304	TCGA.XM.A8RG.01A	4	1
305	TCGA.XM.A8RH.01A	4	2
306	TCGA.XM.A8RI.01A	4	1
307	TCGA.XM.A8RL.01A	4	2
308	TCGA.XM.AAZ1.01A	4	2
309	TCGA.XM.AAZ2.01A	4	1
310	TCGA.XM.AAZ3.01A	4	1
311	TCGA.XU.A92O.01A	4	1
312	TCGA.XU.A92Q.01A	4	1
313	TCGA.XU.A92T.01A	4	1
314	TCGA.XU.A92U.01A	4	3
315	TCGA.XU.A92V.01A	4	1
316	TCGA.XU.A92W.01A	4	2
317	TCGA.XU.A92X.01A	4	2
318	TCGA.XU.A92Y.01A	4	2
319	TCGA.XU.A92Z.01A	4	1
320	TCGA.XU.A930.01A	4	1
321	TCGA.XU.A931.01A	4	1
322	TCGA.XU.A932.01A	4	2
323	TCGA.XU.A933.01A	4	1
324	TCGA.XU.A936.01A	4	2
325	TCGA.XU.AAXV.01A	4	1
326	TCGA.XU.AAXW.01A	4	2
327	TCGA.XU.AAXX.01A	4	2
328	TCGA.XU.AAXY.01A	4	2
329	TCGA.XU.AAXZ.01A	4	2
330	TCGA.XU.AAY0.01A	4	3
331	TCGA.XU.AAY1.01A	4	3
332	TCGA.YT.A95D.01A	4	1
333	TCGA.YT.A95E.01A	4	2
334	TCGA.YT.A95F.01A	4	1
335	TCGA.YT.A95G.01A	4	1
336	TCGA.YT.A95H.01A	4	1
337	TCGA.ZB.A961.01A	4	2
338	TCGA.ZB.A962.01A	4	1
339	TCGA.ZB.A963.01A	4	2
340	TCGA.ZB.A964.01A	4	1
341	TCGA.ZB.A965.01A	4	1
342	TCGA.ZB.A966.01A	4	1
343	TCGA.ZB.A969.01A	4	1
