	samples	K	cluster
1	TCGA.2E.A9G8.01A	2	1
2	TCGA.4E.A92E.01A	2	1
3	TCGA.5B.A90C.01A	2	1
4	TCGA.5S.A9Q8.01A	2	1
5	TCGA.A5.A0G1.01A	2	1
6	TCGA.A5.A0GG.01A	2	1
7	TCGA.A5.A0GQ.01A	2	2
8	TCGA.A5.A0GR.01A	2	1
9	TCGA.A5.A0VO.01A	2	1
10	TCGA.A5.A1OF.01A	2	1
11	TCGA.A5.A1OG.01A	2	1
12	TCGA.A5.A1OH.01A	2	1
13	TCGA.A5.A1OJ.01A	2	1
14	TCGA.A5.A1OK.01A	2	1
15	TCGA.A5.A2K2.01A	2	1
16	TCGA.A5.A2K3.01A	2	1
17	TCGA.A5.A2K4.01A	2	1
18	TCGA.A5.A2K5.01A	2	1
19	TCGA.A5.A2K7.01A	2	1
20	TCGA.A5.A3LO.01A	2	1
21	TCGA.A5.A3LP.01A	2	1
22	TCGA.A5.A7WJ.01A	2	1
23	TCGA.A5.A7WK.01A	2	1
24	TCGA.A5.AB3J.01A	2	1
25	TCGA.AJ.A23M.01A	2	1
26	TCGA.AJ.A23N.01A	2	1
27	TCGA.AJ.A23O.01A	2	1
28	TCGA.AJ.A2QK.01A	2	1
29	TCGA.AJ.A2QL.01A	2	1
30	TCGA.AJ.A2QL.11A	2	1
31	TCGA.AJ.A2QM.01A	2	1
32	TCGA.AJ.A2QN.01A	2	1
33	TCGA.AJ.A2QO.01A	2	1
34	TCGA.AJ.A3BD.01A	2	1
35	TCGA.AJ.A3BF.01A	2	1
36	TCGA.AJ.A3BG.01A	2	1
37	TCGA.AJ.A3BH.01A	2	1
38	TCGA.AJ.A3BI.01A	2	2
39	TCGA.AJ.A3BK.01A	2	2
40	TCGA.AJ.A3EJ.01A	2	1
41	TCGA.AJ.A3EK.01A	2	1
42	TCGA.AJ.A3EL.01A	2	1
43	TCGA.AJ.A3EM.01A	2	1
44	TCGA.AJ.A3I9.01A	2	1
45	TCGA.AJ.A3IA.01A	2	1
46	TCGA.AJ.A3NC.01A	2	1
47	TCGA.AJ.A3NC.11A	2	1
48	TCGA.AJ.A3NE.01A	2	1
49	TCGA.AJ.A3NE.11A	2	1
50	TCGA.AJ.A3NF.01A	2	1
51	TCGA.AJ.A3NG.01A	2	1
52	TCGA.AJ.A3NH.01A	2	1
53	TCGA.AJ.A3NH.11A	2	1
54	TCGA.AJ.A3OJ.01A	2	1
55	TCGA.AJ.A3OK.01A	2	1
56	TCGA.AJ.A3OL.01A	2	1
57	TCGA.AJ.A3QS.01A	2	1
58	TCGA.AJ.A3TW.01A	2	1
59	TCGA.AJ.A5DV.01A	2	1
60	TCGA.AJ.A5DW.01A	2	1
61	TCGA.AJ.A6NU.01A	2	1
62	TCGA.AJ.A8CT.01A	2	1
63	TCGA.AJ.A8CV.01A	2	1
64	TCGA.AJ.A8CW.01A	2	1
65	TCGA.AP.A059.01A	2	1
66	TCGA.AP.A05O.01A	2	1
67	TCGA.AP.A0LF.01A	2	1
68	TCGA.AP.A0LM.01A	2	1
69	TCGA.AP.A0LS.01A	2	1
70	TCGA.AP.A1DH.01A	2	1
71	TCGA.AP.A1DK.01A	2	1
72	TCGA.AP.A1DM.01A	2	1
73	TCGA.AP.A1DO.01A	2	1
74	TCGA.AP.A1DP.01A	2	2
75	TCGA.AP.A1DQ.01A	2	1
76	TCGA.AP.A1DR.01A	2	2
77	TCGA.AP.A1DV.01A	2	1
78	TCGA.AP.A1E0.01A	2	1
79	TCGA.AP.A1E1.01A	2	1
80	TCGA.AP.A1E3.01A	2	1
81	TCGA.AP.A1E4.01A	2	1
82	TCGA.AP.A3K1.01A	2	1
83	TCGA.AP.A5FX.01A	2	1
84	TCGA.AW.A1PO.01A	2	1
85	TCGA.AX.A05Y.11A	2	1
86	TCGA.AX.A06D.01A	2	2
87	TCGA.AX.A06H.01A	2	1
88	TCGA.AX.A06L.01A	2	1
89	TCGA.AX.A0IS.01A	2	1
90	TCGA.AX.A0IZ.01A	2	1
91	TCGA.AX.A0IZ.11A	2	1
92	TCGA.AX.A0J0.01A	2	1
93	TCGA.AX.A0J0.11A	2	1
94	TCGA.AX.A1C4.01A	2	1
95	TCGA.AX.A1C5.01A	2	1
96	TCGA.AX.A1C7.01A	2	2
97	TCGA.AX.A1C8.01A	2	1
98	TCGA.AX.A1C9.01A	2	1
99	TCGA.AX.A1CA.01A	2	1
100	TCGA.AX.A1CC.01A	2	1
101	TCGA.AX.A1CE.01A	2	1
102	TCGA.AX.A1CF.01A	2	1
103	TCGA.AX.A1CF.11A	2	1
104	TCGA.AX.A1CI.01A	2	2
105	TCGA.AX.A1CI.11A	2	1
106	TCGA.AX.A1CJ.01A	2	2
107	TCGA.AX.A1CK.01A	2	1
108	TCGA.AX.A1CK.11A	2	1
109	TCGA.AX.A1CN.01A	2	1
110	TCGA.AX.A1CP.01A	2	1
111	TCGA.AX.A1CR.01A	2	2
112	TCGA.AX.A2H2.01A	2	1
113	TCGA.AX.A2H4.01A	2	1
114	TCGA.AX.A2H5.01A	2	1
115	TCGA.AX.A2H7.01A	2	1
116	TCGA.AX.A2H8.01A	2	1
117	TCGA.AX.A2H8.11A	2	1
118	TCGA.AX.A2HA.01A	2	1
119	TCGA.AX.A2HA.11A	2	1
120	TCGA.AX.A2HC.01A	2	1
121	TCGA.AX.A2HC.11A	2	1
122	TCGA.AX.A2HD.01A	2	1
123	TCGA.AX.A2HD.11A	2	1
124	TCGA.AX.A2HF.01A	2	1
125	TCGA.AX.A2HG.01A	2	1
126	TCGA.AX.A2HH.01A	2	1
127	TCGA.AX.A2HJ.01A	2	1
128	TCGA.AX.A2HK.01A	2	1
129	TCGA.AX.A2IN.01A	2	1
130	TCGA.AX.A2IO.01A	2	1
131	TCGA.AX.A3FS.01A	2	1
132	TCGA.AX.A3FT.01A	2	1
133	TCGA.AX.A3FV.01A	2	1
134	TCGA.AX.A3FW.01A	2	1
135	TCGA.AX.A3FX.01A	2	1
136	TCGA.AX.A3FZ.01A	2	1
137	TCGA.AX.A3G1.01A	2	1
138	TCGA.AX.A3G3.01A	2	1
139	TCGA.AX.A3G4.01A	2	1
140	TCGA.AX.A3G6.01A	2	2
141	TCGA.AX.A3G7.01A	2	2
142	TCGA.AX.A3G8.01A	2	2
143	TCGA.AX.A3G9.01A	2	1
144	TCGA.AX.A3GB.01A	2	1
145	TCGA.AX.A3GI.01A	2	1
146	TCGA.B5.A0JT.01A	2	1
147	TCGA.B5.A0JU.01B	2	1
148	TCGA.B5.A0JX.01A	2	1
149	TCGA.B5.A0K8.01A	2	1
150	TCGA.B5.A0KB.01B	2	1
151	TCGA.B5.A11E.01A	2	1
152	TCGA.B5.A11F.01A	2	1
153	TCGA.B5.A11G.01A	2	1
154	TCGA.B5.A11H.01A	2	1
155	TCGA.B5.A11I.01A	2	1
156	TCGA.B5.A11J.01A	2	1
157	TCGA.B5.A11L.01B	2	2
158	TCGA.B5.A11M.01A	2	1
159	TCGA.B5.A11N.01A	2	2
160	TCGA.B5.A11O.01A	2	1
161	TCGA.B5.A11P.01B	2	2
162	TCGA.B5.A11Q.01A	2	1
163	TCGA.B5.A11R.01A	2	1
164	TCGA.B5.A11S.01A	2	1
165	TCGA.B5.A11U.01A	2	1
166	TCGA.B5.A11V.01A	2	1
167	TCGA.B5.A11W.01A	2	1
168	TCGA.B5.A11X.01A	2	1
169	TCGA.B5.A11Y.01A	2	2
170	TCGA.B5.A11Z.01A	2	1
171	TCGA.B5.A121.01A	2	1
172	TCGA.B5.A1MR.01A	2	1
173	TCGA.B5.A1MS.01B	2	1
174	TCGA.B5.A1MU.01A	2	1
175	TCGA.B5.A1MV.01A	2	1
176	TCGA.B5.A1MW.01A	2	1
177	TCGA.B5.A1MX.01A	2	1
178	TCGA.B5.A1MY.01A	2	1
179	TCGA.B5.A1MZ.01A	2	1
180	TCGA.B5.A1N2.01A	2	1
181	TCGA.B5.A3F9.01A	2	1
182	TCGA.B5.A3FA.01A	2	1
183	TCGA.B5.A3FB.01A	2	1
184	TCGA.B5.A3FC.01A	2	1
185	TCGA.B5.A3FD.01A	2	2
186	TCGA.B5.A3FH.01A	2	2
187	TCGA.B5.A3S1.01A	2	1
188	TCGA.B5.A5OC.01A	2	1
189	TCGA.B5.A5OD.01A	2	1
190	TCGA.B5.A5OE.01A	2	1
191	TCGA.BG.A0MA.01A	2	1
192	TCGA.BG.A0MH.01A	2	1
193	TCGA.BG.A0MK.01A	2	2
194	TCGA.BG.A0VT.01A	2	1
195	TCGA.BG.A0VV.01A	2	1
196	TCGA.BG.A0VW.01A	2	1
197	TCGA.BG.A0VX.01A	2	1
198	TCGA.BG.A0VZ.01A	2	1
199	TCGA.BG.A0W1.01A	2	2
200	TCGA.BG.A0W2.01A	2	1
201	TCGA.BG.A0YU.01A	2	1
202	TCGA.BG.A0YV.01A	2	1
203	TCGA.BG.A186.01A	2	2
204	TCGA.BG.A187.01A	2	1
205	TCGA.BG.A18A.01A	2	2
206	TCGA.BG.A18B.01A	2	1
207	TCGA.BG.A18C.01A	2	1
208	TCGA.BG.A221.01A	2	1
209	TCGA.BG.A222.01A	2	1
210	TCGA.BG.A2AD.01A	2	1
211	TCGA.BG.A2AD.11A	2	1
212	TCGA.BG.A2AE.01A	2	1
213	TCGA.BG.A2L7.01A	2	1
214	TCGA.BG.A3EW.01A	2	1
215	TCGA.BG.A3EW.11A	2	1
216	TCGA.BG.A3PP.01A	2	1
217	TCGA.BG.A3PP.11A	2	1
218	TCGA.BK.A0CA.01A	2	1
219	TCGA.BK.A0CA.01B	2	1
220	TCGA.BK.A0CC.01A	2	1
221	TCGA.BK.A0CC.01B	2	1
222	TCGA.BK.A139.01A	2	1
223	TCGA.BK.A139.02A	2	1
