	samples	K	cluster
1	TCGA.RZ.AB0B.01A	3	1
2	TCGA.V3.A9ZX.01A	3	1
3	TCGA.V3.A9ZY.01A	3	2
4	TCGA.V4.A9E5.01A	3	3
5	TCGA.V4.A9E7.01A	3	1
6	TCGA.V4.A9E8.01A	3	1
7	TCGA.V4.A9E9.01A	3	2
8	TCGA.V4.A9EA.01A	3	2
9	TCGA.V4.A9EC.01A	3	2
10	TCGA.V4.A9ED.01A	3	1
11	TCGA.V4.A9EE.01A	3	1
12	TCGA.V4.A9EF.01A	3	1
13	TCGA.V4.A9EH.01A	3	3
14	TCGA.V4.A9EI.01A	3	1
15	TCGA.V4.A9EJ.01A	3	2
16	TCGA.V4.A9EK.01A	3	2
17	TCGA.V4.A9EL.01A	3	1
18	TCGA.V4.A9EM.01A	3	3
19	TCGA.V4.A9EO.01A	3	1
20	TCGA.V4.A9EQ.01A	3	1
21	TCGA.V4.A9ES.01A	3	1
22	TCGA.V4.A9ET.01A	3	2
23	TCGA.V4.A9EU.01A	3	1
24	TCGA.V4.A9EV.01A	3	1
25	TCGA.V4.A9EW.01A	3	3
26	TCGA.V4.A9EX.01A	3	1
27	TCGA.V4.A9EY.01A	3	2
28	TCGA.V4.A9EZ.01A	3	3
29	TCGA.V4.A9F0.01A	3	1
30	TCGA.V4.A9F1.01A	3	1
31	TCGA.V4.A9F2.01A	3	3
32	TCGA.V4.A9F3.01A	3	1
33	TCGA.V4.A9F4.01A	3	2
34	TCGA.V4.A9F5.01A	3	1
35	TCGA.V4.A9F7.01A	3	2
36	TCGA.V4.A9F8.01A	3	1
37	TCGA.VD.A8K7.01B	3	3
38	TCGA.VD.A8K8.01A	3	1
39	TCGA.VD.A8K9.01A	3	2
40	TCGA.VD.A8KA.01B	3	2
41	TCGA.VD.A8KB.01A	3	2
42	TCGA.VD.A8KD.01A	3	1
43	TCGA.VD.A8KE.01A	3	2
44	TCGA.VD.A8KF.01A	3	3
45	TCGA.VD.A8KG.01A	3	3
46	TCGA.VD.A8KH.01A	3	3
47	TCGA.VD.A8KI.01A	3	1
48	TCGA.VD.A8KJ.01A	3	2
49	TCGA.VD.A8KK.01A	3	1
50	TCGA.VD.A8KL.01A	3	1
51	TCGA.VD.A8KM.01A	3	1
52	TCGA.VD.A8KN.01A	3	1
53	TCGA.VD.A8KO.01A	3	2
54	TCGA.VD.AA8M.01A	3	2
55	TCGA.VD.AA8N.01A	3	1
56	TCGA.VD.AA8O.01A	3	1
57	TCGA.VD.AA8P.01A	3	1
58	TCGA.VD.AA8Q.01A	3	2
59	TCGA.VD.AA8R.01A	3	3
60	TCGA.VD.AA8S.01B	3	2
61	TCGA.VD.AA8T.01A	3	1
62	TCGA.WC.A87T.01A	3	2
63	TCGA.WC.A87U.01A	3	2
64	TCGA.WC.A87W.01A	3	3
65	TCGA.WC.A87Y.01A	3	1
66	TCGA.WC.A880.01A	3	2
67	TCGA.WC.A881.01A	3	2
68	TCGA.WC.A882.01A	3	3
69	TCGA.WC.A883.01A	3	1
70	TCGA.WC.A884.01A	3	2
71	TCGA.WC.A885.01A	3	2
72	TCGA.WC.A888.01A	3	1
73	TCGA.WC.A88A.01A	3	1
74	TCGA.WC.AA9A.01A	3	3
75	TCGA.WC.AA9E.01A	3	2
76	TCGA.YZ.A980.01A	3	3
77	TCGA.YZ.A982.01A	3	2
78	TCGA.YZ.A983.01A	3	2
79	TCGA.YZ.A984.01A	3	1
80	TCGA.YZ.A985.01A	3	1
